,PMID,Full_author_name
732,24468920,"schulz, stefan m/split/department of psychology i, university of würzburg, würzburg, germany;  comprehensive heart failure center, university of würzburg, germany. electronic address: schulz@psychologie.uni-wuerzburg.de."
733,24730637,"hishitani, takashi/split/department of cardiology, saitama children's medical center, saitama, japan."
733,24730637,"fujimoto, yoshitaka"
733,24730637,"saito, yukinori"
733,24730637,"sugamoto, kenji"
733,24730637,"hoshino, kenji"
733,24730637,"ogawa, kiyoshi"
734,25423655,"izumi, shintaro"
734,25423655,"yamashita, ken"
734,25423655,"nakano, masanao"
734,25423655,"kawaguchi, hiroshi"
734,25423655,"kimura, hiromitsu"
734,25423655,"marumoto, kyoji"
734,25423655,"fuchikami, takaaki"
734,25423655,"fujimori, yoshikazu"
734,25423655,"nakajima, hiroshi"
734,25423655,"shiga, toshikazu"
734,25423655,"yoshimoto, masahiko"
735,25083905,"black, allison k/split/1 kosair charities pediatric heart research program, cardiovascular innovation  institute , louisville, kentucky."
735,25083905,"sadanala, usha k"
735,25083905,"mascio, christopher e"
735,25083905,"hornung, carlton a"
735,25083905,"keller, bradley b"
736,24110769,"vaidya, avinash s"
736,24110769,"srinivas, m b"
736,24110769,"himabindu, p"
736,24110769,"jumaxanova, daria"
737,23623349,"brunetti, natale daniele/split/department of medical & surgical sciences, university of foggia, italy.  electronic address: nd.brunetti@unifg.it."
737,23623349,"dellegrottaglie, giulia"
737,23623349,"di giuseppe, giuseppe"
737,23623349,"de gennaro, luisa"
737,23623349,"di biase, matteo"
738,23704706,"nerini, erika/split/fbcommunication, modena, italy."
738,23704706,"grip, laura"
738,23704706,"camm, a john"
738,23704706,"giugliano, robert p"
739,24111407,"jovanov, emil"
739,24111407,"milosevic, mladen"
739,24111407,"milenković, aleksandar"
740,25150495,"haywood, guy a/split/south west cardiothoracic centre, derriford hospital, plymouth pl3 4qq, uk."
740,25150495,"davies, edward j/split/south west cardiothoracic centre, derriford hospital, plymouth pl3 4qq, uk.  electronic address: dreddavies@gmail.com."
740,25150495,"boulos, maged n kamel/split/faculty of health & human sciences, university of plymouth, drake circus,  plymouth, devon pl4 8aa, uk."
740,25150495,"rapanotti, lucia/split/department of computing, the open university, walton hall, milton keynes mk7 6aa,  uk."
740,25150495,"schilling, richard"
740,25150495,"todd, derick"
740,25150495,"rajapan, kim"
740,25150495,"betts, tim"
740,25150495,"earley, mark"
740,25150495,"thomas, glyn"
740,25150495,"tomlinson, david"
740,25150495,"tayebjee, muzahir"
740,25150495,"lambiase, pier"
740,25150495,"haywood, guy"
741,24721599,"sharma, urvashi/split/department of computer science, brunel university, kingston lane, uxbridge,  middlesex, uk. urvashi.sharma@brunel.ac.uk."
741,24721599,"clarke, malcolm"
742,24733277,"huffman, jeff c/split/harvard medical school, boston, massachusetts2department of psychiatry,  massachusetts general hospital, boston."
742,24733277,"mastromauro, carol a/split/harvard medical school, boston, massachusetts2department of psychiatry,  massachusetts general hospital, boston."
742,24733277,"beach, scott r/split/harvard medical school, boston, massachusetts2department of psychiatry,  massachusetts general hospital, boston."
742,24733277,"celano, christopher m/split/harvard medical school, boston, massachusetts2department of psychiatry,  massachusetts general hospital, boston."
742,24733277,"dubois, christina m/split/harvard medical school, boston, massachusetts2department of psychiatry,  massachusetts general hospital, boston."
742,24733277,"healy, brian c/split/harvard medical school, boston, massachusetts3biostatistics center, massachusetts  general hospital, boston."
742,24733277,"suarez, laura/split/harvard medical school, boston, massachusetts2department of psychiatry,  massachusetts general hospital, boston."
742,24733277,"rollman, bruce l/split/division of general internal medicine, department of medicine, university of  pittsburgh, pittsburgh, pennsylvania."
742,24733277,"januzzi, james l/split/harvard medical school, boston, massachusetts5division of cardiology, department  of medicine, massachusetts general hospital, boston."
743,24825680,"modre-osprian, robert/split/ait austrian institute of technology, austria."
743,24825680,"pölzl, gerhard/split/medical university of innsbruck, austria."
743,24825680,"von der heidt, andreas/split/medical university of innsbruck, austria."
743,24825680,"kastner, peter/split/ait austrian institute of technology, austria."
744,25069785,"corazza, i/split/experimental, diagnostic and specialty medicine department dimes, university of  bologna, bologna, italy"
744,25069785,"bianchini, d"
744,25069785,"urbinati, s"
744,25069785,"zannoli, r"
745,25339632,"villani, alessandra/split/divisione di cardiologia, ospedale san luca, istituto auxologico italiano irccs,  milano, italy."
745,25339632,"malfatto, gabriella/split/divisione di cardiologia, ospedale san luca, istituto auxologico italiano irccs,  milano, italy."
745,25339632,"compare, angelo/split/dipartimento di psicologia, università degli studi di brescia, italy."
745,25339632,"della rosa, francesco/split/divisione di cardiologia, ospedale san luca, istituto auxologico italiano irccs,  milano, italy."
745,25339632,"bellardita, lara/split/istituto nazionale dei tumori irccs, milano, italy."
745,25339632,"branzi, giovanna/split/divisione di cardiologia, ospedale san luca, istituto auxologico italiano irccs,  milano, italy."
745,25339632,"molinari, enrico/split/dipartimento di psicologia, università cattolica del sacro cuore, milano, italy."
745,25339632,"parati, gianfranco/split/divisione di cardiologia, ospedale san luca, istituto auxologico italiano irccs,  milano, italy dipartimento di medicina clinica, prevenzione e biotecnologie sanitarie, università milano-bicocca, italy gianfranco.parati@unimib.it."
746,25000076,"khairat, saif/split/university of minnesota, united states."
746,25000076,"wijesinghe, namal/split/gen. sir john kotelawala defence university, sri lanka."
746,25000076,"wolfson, julian/split/university of minnesota, united states."
746,25000076,"scott, rob/split/university of british columbia, canada."
746,25000076,"simkus, ray/split/treatment inc, canada."
747,25131968,"cowie, martin r/split/royal brompton hospital, imperial college london, london sw3 6ly, uk. electronic  address: m.cowie@imperial.ac.uk."
748,25029521,"guidi, gabriele"
748,25029521,"pettenati, maria chiara"
748,25029521,"melillo, paolo"
748,25029521,"iadanza, ernesto"
749,24378289,"simpson, monica/split/palm beach gardens medical center, palm beach gardens, florida."
750,24111438,"fujii, takahide"
750,24111438,"nakano, masanao"
750,24111438,"yamashita, ken"
750,24111438,"konishi, toshihiro"
750,24111438,"izumi, shintaro"
750,24111438,"kawaguchi, hiroshi"
750,24111438,"yoshimoto, masahiko"
751,23759904,"baldonado, analiza/split/veterans affairs palo alto bldg, 100 a2-104 3801, miranda ave palo alto, ca, usa.  analiza.baldonado@va.gov"
751,23759904,"rodriguez, lori"
751,23759904,"renfro, david"
751,23759904,"sheridan, shirley barrett"
751,23759904,"mcelrath, mary"
751,23759904,"chardos, john"
752,24535297,"vollmer, thomas"
752,24535297,"schauerte, patrick"
752,24535297,"zink, matthias"
752,24535297,"glöggler, sigrid"
752,24535297,"schiefer, johannes"
752,24535297,"schiek, michael"
752,24535297,"johnen, udo"
752,24535297,"leonhardt, steffen"
753,22711058,"cox, narelle s/split/department of physiotherapy, la trobe university, melbourne, victoria, australia.  nscox@students.latrobe.edu.au"
753,22711058,"alison, jennifer a"
753,22711058,"button, brenda m"
753,22711058,"wilson, john w"
753,22711058,"holland, anne e"
754,24951710,"alshurafa, nabil"
754,24951710,"eastwood, jo-ann"
754,24951710,"nyamathi, suneil"
754,24951710,"liu, jason j"
754,24951710,"xu, wenyao"
754,24951710,"ghasemzadeh, hassan"
754,24951710,"pourhomayoun, mohammad"
754,24951710,"sarrafzadeh, majid"
755,23737224,"de asmundis, carlo/split/heart rhythm management centre, cardiovascular division, universitair ziekenhuis  brussel, vrije universiteit brussel, laarbeeklaan 101, 1090 brussels, belgium. carlodeasmundis@me.com"
755,23737224,"ricciardi, danilo"
755,23737224,"namdar, mehdi"
755,23737224,"chierchia, gian-battista"
755,23737224,"sarkozy, andrea"
755,23737224,"brugada, pedro"
756,25136791,"morgan, john m/split/faculty of medicine, university of southampton, southampton, uk."
756,25136791,"dimitrov, borislav d"
756,25136791,"gill, jas"
756,25136791,"kitt, sue"
756,25136791,"ng, g andre"
756,25136791,"mccomb, janet m"
756,25136791,"raftery, james"
756,25136791,"roderick, paul"
756,25136791,"seed, alison"
756,25136791,"williams, simon g"
756,25136791,"witte, klaus k"
756,25136791,"wright, d jay"
756,25136791,"yao, guiqing lily"
756,25136791,"cowie, martin r"
757,25248206,"henriques, j"
757,25248206,"carvalho, p"
757,25248206,"paredes, s"
757,25248206,"rocha, t"
757,25248206,"habetha, j"
757,25248206,"antunes, m"
757,25248206,"morais, j"
758,24572251,"agarwal, smriti/split/clinical neurosciences, university of cambridge, uk."
758,24572251,"day, diana j"
758,24572251,"sibson, lynda"
758,24572251,"barry, patrick j"
758,24572251,"collas, david"
758,24572251,"metcalf, kneale"
758,24572251,"cotter, paul e"
758,24572251,"guyler, paul"
758,24572251,"o'brien, eoin w"
758,24572251,"o'brien, anthony"
758,24572251,"o'kane, declan"
758,24572251,"owusu-agyei, peter"
758,24572251,"phillips, peter"
758,24572251,"shekhar, raj"
758,24572251,"warburton, elizabeth a"
759,25330153,"shao, dangdang"
759,25330153,"yang, yuting"
759,25330153,"liu, chenbin"
759,25330153,"tsow, francis"
759,25330153,"yu, hui"
759,25330153,"tao, nongjian"
760,24412453,"assad-kottner, christian/split/department of cardiology, university of arkansas for medical sciences and  arkansas children's hospital, little rock, arkansas."
760,24412453,"hakeem, abdul/split/department of cardiology, university of arkansas for medical sciences and  arkansas children's hospital, little rock, arkansas."
760,24412453,"fontenot, eudice/split/department of cardiology, university of arkansas for medical sciences and  arkansas children's hospital, little rock, arkansas."
760,24412453,"uretsky, barry f/split/department of cardiology, university of arkansas for medical sciences and  arkansas children's hospital, little rock, arkansas."
761,25174019,"fera, toni/split/toni fera, b.s., pharm.d., is consultant, accountable care, pittsburgh regional  health initiative, pittsburgh, pa. cara anderson, pharm.d., is clinical pharmacist, monongahela valley hospital, monongahela, pa. keith t. kanel, m.d., mhcm, is chief medical officer, pittsburgh regional health initiative. donna l. ramusivich, fache, is senior vice president, monongahela valley hospital."
761,25174019,"anderson, cara/split/toni fera, b.s., pharm.d., is consultant, accountable care, pittsburgh regional  health initiative, pittsburgh, pa. cara anderson, pharm.d., is clinical pharmacist, monongahela valley hospital, monongahela, pa. keith t. kanel, m.d., mhcm, is chief medical officer, pittsburgh regional health initiative. donna l. ramusivich, fache, is senior vice president, monongahela valley hospital."
761,25174019,"kanel, keith t/split/toni fera, b.s., pharm.d., is consultant, accountable care, pittsburgh regional  health initiative, pittsburgh, pa. cara anderson, pharm.d., is clinical pharmacist, monongahela valley hospital, monongahela, pa. keith t. kanel, m.d., mhcm, is chief medical officer, pittsburgh regional health initiative. donna l. ramusivich, fache, is senior vice president, monongahela valley hospital. kkanel@prhi.org."
761,25174019,"ramusivich, donna l/split/toni fera, b.s., pharm.d., is consultant, accountable care, pittsburgh regional  health initiative, pittsburgh, pa. cara anderson, pharm.d., is clinical pharmacist, monongahela valley hospital, monongahela, pa. keith t. kanel, m.d., mhcm, is chief medical officer, pittsburgh regional health initiative. donna l. ramusivich, fache, is senior vice president, monongahela valley hospital."
762,24163233,"boyne, josiane j j/split/department of patient and care, maastricht university medical centre, maastricht,  the netherlands."
762,24163233,"van asselt, antoinette d i"
762,24163233,"gorgels, anton p m"
762,24163233,"steuten, lotte m g"
762,24163233,"de weerd, gerjan"
762,24163233,"kragten, johannes"
762,24163233,"vrijhoef, hubertus j m"
763,23576807,"mistry, hema/split/health economics unit, university of birmingham, birmingham, uk."
763,23576807,"gardiner, helena m"
764,24528530,"mccrossan, brian a/split/department of paediatric cardiology, the royal belfast hospital for sick  children, belfast, united kingdom."
764,24528530,"doherty, nicola n"
764,24528530,"sands, andrew j"
764,24528530,"grant, brian"
764,24528530,"craig, brian g"
764,24528530,"mccusker, chris g"
764,24528530,"casey, frank a"
765,24110416,"guidi, g"
765,24110416,"pettenati, m c"
765,24110416,"miniati, r"
765,24110416,"iadanza, e"
766,23388297,"grau, immaculada/split/hospital clínic de barcelona, spain. igrau@clinic.ub.es"
766,23388297,"grajales iii, francisco j"
766,23388297,"gene-badia, joan"
766,23388297,"siso, antoni"
766,23388297,"de semir, marc"
767,27125006,"morse, harold g"
767,27125006,"hunt, beth"
767,27125006,"wheeler, charles"
767,27125006,"kopec, isabelle"
767,27125006,"hand, stephen"
767,27125006,"somers, wayne"
767,27125006,"tillirson, michael"
768,23222527,"piette, john d/split/department of veterans affairs, center for clinical management research,  university of michigan medical school, ann arbor, mi 48109-2800, usa. jpiette@umich.edu"
768,23222527,"rosland, ann-marie"
768,23222527,"marinec, nicolle s"
768,23222527,"striplin, dana"
768,23222527,"bernstein, steven j"
768,23222527,"silveira, maria j"
769,24096575,"mccabe, james m/split/division of cardiology, university of washington, seattle, co."
769,24096575,"armstrong, ehrin j"
769,24096575,"ku, ivy"
769,24096575,"kulkarni, ameya"
769,24096575,"hoffmayer, kurt s"
769,24096575,"bhave, prashant d"
769,24096575,"waldo, stephen w"
769,24096575,"hsue, priscilla"
769,24096575,"stein, john c"
769,24096575,"marcus, gregory m"
769,24096575,"kinlay, scott"
769,24096575,"ganz, peter"
770,24655228,"gellis, zvi d/split/center for mental health and aging, school of social policy and practice,  university of pennsylvania, philadelphia, pennsylvania."
770,24655228,"kenaley, bonnie l"
770,24655228,"ten have, thomas"
771,24955946,"szczepański, adam/split/agh university of science and technology, faculty of physics and applied computer  science, 30 mickiewicza av., pl-30059, krakow 004812, poland. adam.szczepanski@fis.agh.edu.pl."
771,24955946,"saeed, khalid/split/agh university of science and technology, faculty of physics and applied computer  science, 30 mickiewicza av., pl-30059, krakow 004812, poland. saeed@agh.edu.pl."
772,25205534,"koertke, heinrich/split/clinic for thoracic and cardiovascular surgery, heart and diabetes center north  rhine-westphalia, ruhr university bochum, bad oeynhausen, germany institute of applied telemedicine, heart and diabetes center north rhine-westphalia, ruhr university bochum, georgstr.11 32545, bad oeynhausen, germany hkoertke@hdz-nrw.de."
772,25205534,"zittermann, armin/split/clinic for thoracic and cardiovascular surgery, heart and diabetes center north  rhine-westphalia, ruhr university bochum, bad oeynhausen, germany."
772,25205534,"wagner, otto/split/institute of applied telemedicine, heart and diabetes center north  rhine-westphalia, ruhr university bochum, georgstr.11 32545, bad oeynhausen, germany."
772,25205534,"secer, songuel/split/clinic for thoracic and cardiovascular surgery, heart and diabetes center north  rhine-westphalia, ruhr university bochum, bad oeynhausen, germany institute of applied telemedicine, heart and diabetes center north rhine-westphalia, ruhr university bochum, georgstr.11 32545, bad oeynhausen, germany."
772,25205534,"sciangula, alfonso/split/hospital santa anna, catanzaro, italy."
772,25205534,"saggau, werner/split/academic city hospital, ludwigshafen, germany."
772,25205534,"sack, falk-udo/split/academic city hospital, ludwigshafen, germany."
772,25205534,"ennker, jürgen/split/mediclin heart institute lahr/baden, lahr; university witten-herdecke, faculty of  health, school of medicine, germany."
772,25205534,"cremer, jochen/split/clinic for cardiac and vascular surgery, christain-albrechts-university kiel,  kiel, germany."
772,25205534,"musumeci, francesco/split/azienda ospedaliera s. camillo forlani, roma, italy."
772,25205534,"gummert, jan f/split/clinic for thoracic and cardiovascular surgery, heart and diabetes center north  rhine-westphalia, ruhr university bochum, bad oeynhausen, germany."
773,25482681,"jeroudi, omar m/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas."
773,25482681,"christakopoulos, george/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas."
773,25482681,"christopoulos, george/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas."
773,25482681,"kotsia, anna/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas."
773,25482681,"kypreos, megan a/split/paul l. foster school of medicine, texas tech university health sciences center,  el paso, texas."
773,25482681,"rangan, bavana v/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas."
773,25482681,"banerjee, subhash/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas."
773,25482681,"brilakis, emmanouil s/split/veterans affairs north texas health care system, dallas, texas; university of  texas southwestern medical center, dallas, texas. electronic address: esbrilakis@gmail.com."
774,24270229,"chorpenning, katherine/split/from heartware, inc., miami lakes, florida."
774,24270229,"brown, michael c"
774,24270229,"voskoboynikov, neil"
774,24270229,"reyes, carlos"
774,24270229,"dierlam, anne e"
774,24270229,"tamez, daniel"
775,25046174,"ben-assa, eyal/split/1 department of cardiology, tel aviv university , tel aviv, israel ."
775,25046174,"shacham, yacov"
775,25046174,"golovner, michal"
775,25046174,"malov, nomi"
775,25046174,"leshem-rubinow, eran"
775,25046174,"zatelman, avivit"
775,25046174,"oren shamir, ayelet"
775,25046174,"rogowski, ori"
775,25046174,"roth, arie"
776,23737231,"ricci, renato pietro/split/department of cardiology, san filippo neri hospital, via martinotti 20, rome,  italy. renatopietroricci@tin.it"
776,23737231,"morichelli, loredana"
777,23419656,"udo, erik o/split/department of cardiology, university medical center utrecht, heidelberglaan 100,  utrecht, the netherlands. e.o.udo@umcutrecht.nl"
777,23419656,"van hemel, norbert m"
777,23419656,"zuithoff, nicolaas p a"
777,23419656,"barrett, mike j"
777,23419656,"ruiter, jaap h"
777,23419656,"doevendans, pieter a"
777,23419656,"moons, karel g m"
779,24507743,"dierckx, riet/split/cardiovascular center, olv hospital, aalst, belgium. electronic address:  rietdierckx@hotmail.com."
779,24507743,"houben, richard/split/applied biomedical systems bv (abs), maastricht, the netherlands."
779,24507743,"goethals, marc/split/cardiovascular center, olv hospital, aalst, belgium."
779,24507743,"verstreken, sofie/split/cardiovascular center, olv hospital, aalst, belgium."
779,24507743,"bartunek, jozef/split/cardiovascular center, olv hospital, aalst, belgium."
779,24507743,"saeys, rudy/split/general practitioners network aalst, belgium."
779,24507743,"de proft, margot/split/cardiovascular center, olv hospital, aalst, belgium."
779,24507743,"boel, elly/split/cardiovascular center, olv hospital, aalst, belgium."
779,24507743,"vanderheyden, marc/split/cardiovascular center, olv hospital, aalst, belgium."
780,25437442,"chen, chen-yu/split/institute of biomedical engineering and college of medicine, national taiwan  university, taipei, taiwan; department of obstetrics and gynecology, mackay memorial hospital, taipei, taiwan; mackay medical college, taipei, taiwan; mackay junior college of medicine, nursing, and management, taipei, taiwan."
780,25437442,"yu, chun/split/institute of biomedical engineering and college of medicine, national taiwan  university, taipei, taiwan."
780,25437442,"chang, chia-chen/split/institute of biomedical engineering and college of medicine, national taiwan  university, taipei, taiwan."
780,25437442,"lin, chii-wann/split/institute of biomedical engineering and college of medicine, national taiwan  university, taipei, taiwan."
781,24866615,"espinoza, jimmy/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.). jimmy.espinoza@bcm.edu."
781,24866615,"lee, wesley/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.)."
781,24866615,"viñals, fernando/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.)."
781,24866615,"martinez, josep maria/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.)."
781,24866615,"bennasar, mar/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.)."
781,24866615,"rizzo, giuseppe/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.)."
781,24866615,"belfort, michael/split/department of obstetrics and gynecology, baylor college of medicine and texas  children's hospital pavilion for women, houston, texas usa (j.e., w.l., m.b.); department of obstetrics and gynecology, william beaumont hospital, royal oak, michigan usa (j.e., w.l.); centro agb ultrasonografía, clínica sanatorio aleman, concepción, chile (f.v.); department of maternal-fetal medicine, institut clinic de ginecologia, obstetricia, i neonatologia, hospital clinic, university of barcelona, barcelona, spain (j.m.m., m.b.); and department of obstetrics and gynecology, university of rome tor vergata, rome, italy (g.r.)."
782,24865986,"maeng, daniel d/split/1 geisinger health system , danville, pennsylvania."
782,24865986,"starr, alison e"
782,24865986,"tomcavage, janet f"
782,24865986,"sciandra, joann"
782,24865986,"salek, doreen"
782,24865986,"griffith, david"
783,24901442,"otero, andrea victoria/split/1 division of pediatric cardiac critical care, children's hospital of the  university of pittsburgh medical center , pittsburgh, pennsylvania."
783,24901442,"lopez-magallon, alejandro jose"
783,24901442,"jaimes, diana"
783,24901442,"motoa, maria victoria"
783,24901442,"ruz, miguel"
783,24901442,"erdmenger, julio"
783,24901442,"muñoz, ricardo a"
784,24290330,"klack, lars/split/human-computer-interaction center at rwth aachen university."
784,24290330,"ziefle, martina"
784,24290330,"wilkowska, wiktoria"
784,24290330,"kluge, johanna"
785,24067525,"marelli, daniel/split/the division of cardiac surgery, bayhealth medical center, dover, deleware."
785,24067525,"woo, edward"
785,24067525,"watson, michael"
785,24067525,"fedalen, paul"
785,24067525,"wang, grace"
785,24067525,"stallings, megan"
785,24067525,"fairman, ronald"
785,24067525,"mannion, john"
786,24441875,"blanik, nikolai"
786,24441875,"abbas, abbas k"
786,24441875,"venema, boudewijn"
786,24441875,"blazek, vladimir"
786,24441875,"leonhardt, steffen"
787,25192565,"sannino, giovanna"
787,25192565,"de falco, ivanoe"
787,25192565,"de pietro, giuseppe"
789,24050610,"yu, yang/split/1 department of biomedical engineering, school of medicine, tsinghua university ,  beijing, china ."
789,24050610,"li, jingjing"
789,24050610,"liu, jing"
790,24699797,"lee, richard h/split/durham va geriatric research education and clinical center, durham, nc, usa,  r.lee@duke.edu."
790,24699797,"lyles, kenneth w"
790,24699797,"pearson, megan"
790,24699797,"barnard, karen"
790,24699797,"colón-emeric, cathleen"
791,25203983,"tobon v, diana p"
791,25203983,"falk, tiago h"
791,25203983,"maier, martin"
792,24760371,"wong, ho ting/split/department of social work, hong kong baptist university, hong kong, sar, china,  frankwong@connect.hku.hk."
792,24760371,"chiu, marcus yu lung"
792,24760371,"wu, cynthia sau ting"
792,24760371,"lee, tsz cheung"
793,24848864,"siebermair, j/split/department of medicine i, hospital of the ludwig maximilians university munich  (lmu), ziemssenstr. 1, 80336, munich, germany."
793,24848864,"clauss, s"
793,24848864,"martens, e"
793,24848864,"schuessler, f"
793,24848864,"oversohl, n"
793,24848864,"haserueck, n"
793,24848864,"estner, h l"
793,24848864,"kääb, s"
793,24848864,"wakili, r"
794,24308171,"erich, john"
795,25014978,"gazzarata, roberta"
795,25014978,"vergari, fabio"
795,25014978,"cinotti, tullio salmon"
795,25014978,"giacomini, mauro"
796,25112695,"yager, phoebe h/split/massachusetts general hospital, boston, ma."
796,25112695,"clark, maureen e/split/massachusetts general hospital, boston, ma."
796,25112695,"dapul, heda r/split/maimonides medical center, brooklyn, ny."
796,25112695,"murphy, sarah/split/massachusetts general hospital, boston, ma."
796,25112695,"zheng, hui/split/massachusetts general hospital, boston, ma."
796,25112695,"noviski, natan/split/massachusetts general hospital, boston, ma. electronic address:  nnoviski@partners.org."
797,23305645,"de vries, arjen e/split/university medical center groningen, cardiology, groningen, netherlands.  a.e.de.vries@thorax.umcg.nl"
797,23305645,"van der wal, martje h l"
797,23305645,"nieuwenhuis, maurice m w"
797,23305645,"de jong, richard m"
797,23305645,"van dijk, rene b"
797,23305645,"jaarsma, tiny"
797,23305645,"hillege, hans l"
798,25392254,"von der heidt, andreas/split/clinical division of cardiology and angiology, medical university of innsbruck,  anichstrasse 35, 6020, innsbruck, austria."
798,25392254,"ammenwerth, elske"
798,25392254,"bauer, karl"
798,25392254,"fetz, bettina"
798,25392254,"fluckinger, thomas"
798,25392254,"gassner, andrea"
798,25392254,"grander, willhelm"
798,25392254,"gritsch, walter"
798,25392254,"haffner, immaculata"
798,25392254,"henle-talirz, gudrun"
798,25392254,"hoschek, stefan"
798,25392254,"huter, stephan"
798,25392254,"kastner, peter"
798,25392254,"krestan, susanne"
798,25392254,"kufner, peter"
798,25392254,"modre-osprian, robert"
798,25392254,"noebl, josef"
798,25392254,"radi, momen"
798,25392254,"raffeiner, clemens"
798,25392254,"welte, stefan"
798,25392254,"wiseman, andreas"
798,25392254,"poelzl, gerhard"
799,23061492,"krum, henry/split/centre of cardiovascular research and education in therapeutics, monash  university, melbourne, vic., australia. henry.krum@med.monash.edu.au"
799,23061492,"forbes, andrew"
799,23061492,"yallop, julie"
799,23061492,"driscoll, andrea"
799,23061492,"croucher, jo"
799,23061492,"chan, bianca"
799,23061492,"clark, robyn"
799,23061492,"davidson, patricia"
799,23061492,"huynh, luan"
799,23061492,"kasper, edward k"
799,23061492,"hunt, david"
799,23061492,"egan, helen"
799,23061492,"stewart, simon"
799,23061492,"piterman, leon"
799,23061492,"tonkin, andrew"
800,23318253,"creutzfeldt, johan/split/department of clinical science, intervention and technology, karolinska  institutet, stockholm, sweden. johan.creutzfeldt@ki.se"
800,23318253,"hedman, leif"
800,23318253,"heinrichs, leroy"
800,23318253,"youngblood, patricia"
800,23318253,"felländer-tsai, li"
801,23711052,"ošmera, o/split/kardiologicke oddeleni nemocnice ceske budejovice. ondrej.osmera@seznam.cz"
801,23711052,"bulava, a"
802,24722932,"prescher, s/split/charité-universitätsmedizin berlin, med. klinik m.s. kardiologie und angiologie,  zentrum für kardiovaskuläre telemedizin, berlin."
802,24722932,"deckwart, o/split/charité-universitätsmedizin berlin, med. klinik m.s. kardiologie und angiologie,  zentrum für kardiovaskuläre telemedizin, berlin."
802,24722932,"koehler, k/split/charité-universitätsmedizin berlin, med. klinik m.s. kardiologie und angiologie,  zentrum für kardiovaskuläre telemedizin, berlin."
802,24722932,"lücke, s/split/charité-universitätsmedizin berlin, med. klinik m.s. kardiologie und angiologie,  zentrum für kardiovaskuläre telemedizin, berlin."
802,24722932,"schieber, m/split/kardiologische gemeinschaftspraxis stuttgart-feuerbach, stuttgart."
