,PMID,Mesh_terms
514,22733834,europe
514,22733834,humans
514,22733834,referral and consultation/trends
514,22733834,registries
514,22733834,telemedicine/*trends
515,22127418,aged
515,22127418,"aged, 80 and over"
515,22127418,"arrhythmias, cardiac/*therapy"
515,22127418,"cardiac pacing, artificial/*mortality"
515,22127418,female
515,22127418,follow-up studies
515,22127418,humans
515,22127418,kaplan-meier estimate
515,22127418,male
515,22127418,"*pacemaker, artificial"
515,22127418,postoperative care/methods/mortality
515,22127418,remote consultation/*methods
515,22127418,treatment outcome pmc
516,20851481,aged
516,20851481,blood pressure/*physiology
516,20851481,body weight/*physiology
516,20851481,cell phone/trends
516,20851481,chronic disease
516,20851481,"computers, handheld/*trends"
516,20851481,electrocardiography/instrumentation/*trends
516,20851481,feasibility studies
516,20851481,female
516,20851481,heart failure/diagnosis/*physiopathology
516,20851481,humans
516,20851481,male
516,20851481,middle aged
516,20851481,telemedicine/instrumentation/*trends
517,22254620,*cardiac rehabilitation
517,22254620,cardiovascular diseases/*diagnosis
517,22254620,chronic disease
517,22254620,expert systems
517,22254620,humans
517,22254620,information dissemination/*methods
517,22254620,patient education as topic/methods
517,22254620,precision medicine/*methods
517,22254620,referral and consultation
517,22254620,*software
517,22254620,telemedicine/*methods
517,22254620,"therapy, computer-assisted/*methods"
518,21818014,ambulances/*supply & distribution
518,21818014,double-blind method
518,21818014,equipment design
518,21818014,humans
518,21818014,"*outcome assessment, health care"
518,21818014,*patient simulation
518,21818014,prospective studies
518,21818014,telemedicine/*instrumentation
518,21818014,united states
518,21818014,wounds and injuries/*therapy
519,22495926,echocardiography
519,22495926,female
519,22495926,"*heart defects, congenital"
519,22495926,humans
519,22495926,poland
519,22495926,pregnancy
519,22495926,*registries
519,22495926,telemedicine
519,22495926,"ultrasonography, prenatal"
520,21067968,*cooperative behavior
520,21067968,humans
520,21067968,"monitoring, physiologic/*methods"
520,21067968,*telemedicine
521,22255010,heart failure/physiopathology/*therapy
521,22255010,*home care services
521,22255010,humans
521,22255010,*microcomputers
521,22255010,*telemedicine
522,21606020,*algorithms
522,21606020,"arrhythmias, cardiac/physiopathology"
522,21606020,*computer security
522,21606020,"databases, factual"
522,21606020,electrocardiography/*methods
522,21606020,humans
522,21606020,"models, theoretical"
522,21606020,"*signal processing, computer-assisted"
522,21606020,telemedicine/*methods
523,22254619,equipment design
523,22254619,equipment failure analysis
523,22254619,*expert systems
523,22254619,humans
523,22254619,"monitoring, ambulatory/*instrumentation"
523,22254619,myocardial infarction/*rehabilitation
523,22254619,physical therapy modalities/*instrumentation
523,22254619,reproducibility of results
523,22254619,self care/*instrumentation
523,22254619,sensitivity and specificity
523,22254619,telemedicine/*instrumentation
523,22254619,"therapy, computer-assisted/*instrumentation"
523,22254619,user-computer interface
524,22400969,adenocarcinoma/*diagnosis/pathology/radiotherapy
524,22400969,humans
524,22400969,internet/instrumentation/*organization & administration
524,22400969,"models, organizational"
524,22400969,"monitoring, physiologic/instrumentation/methods"
524,22400969,neuroendocrine tumors/*diagnosis/pathology/radiotherapy
524,22400969,radioisotopes/*therapeutic use
524,22400969,serbia
524,22400969,telemedicine/methods/*organization & administration
524,22400969,thyroid neoplasms/*diagnosis/pathology/radiotherapy
525,23021816,"arrhythmias, cardiac/*diagnosis/*epidemiology"
525,23021816,comorbidity
525,23021816,electrocardiography/*statistics & numerical data
525,23021816,emergency medical services
525,23021816,female
525,23021816,humans
525,23021816,italy/epidemiology
525,23021816,male
525,23021816,middle aged
525,23021816,prevalence
525,23021816,referral and consultation/*statistics & numerical data
525,23021816,reproducibility of results
525,23021816,risk assessment
525,23021816,sensitivity and specificity
525,23021816,syncope/*diagnosis/*epidemiology
525,23021816,telemedicine
526,22827508,adolescent
526,22827508,adult
526,22827508,aged
526,22827508,"aged, 80 and over"
526,22827508,*ambulatory care
526,22827508,"*arrhythmias, cardiac/diagnosis/psychology"
526,22827508,case-control studies
526,22827508,child
526,22827508,female
526,22827508,georgia (republic)
526,22827508,home care services
526,22827508,humans
526,22827508,male
526,22827508,middle aged
526,22827508,*telemetry
526,22827508,young adult pmc
527,20952328,adult
527,20952328,algorithms
527,20952328,female
527,20952328,humans
527,20952328,"image processing, computer-assisted/*methods"
527,20952328,*internet
527,20952328,male
527,20952328,"monitoring, physiologic/*instrumentation/methods"
527,20952328,telemedicine/*instrumentation/methods
527,20952328,video recording/instrumentation
528,23280102,advisory committees
528,23280102,american heart association
528,23280102,benchmarking
528,23280102,cardiovascular diseases/*congenital/*therapy
528,23280102,certification
528,23280102,child
528,23280102,coronary care units/history
528,23280102,critical care/trends
528,23280102,"history, 20th century"
528,23280102,humans
528,23280102,"outcome assessment, health care"
528,23280102,patient care team
528,23280102,pediatrics
528,23280102,quality improvement
528,23280102,telemedicine
528,23280102,terminal care
528,23280102,united states
528,23280102,workforce
529,23101483,arizona
529,23101483,"cardiology service, hospital"
529,23101483,child
529,23101483,"child, preschool"
529,23101483,"heart defects, congenital/*diagnostic imaging"
529,23101483,humans
529,23101483,infant
529,23101483,"infant, newborn"
529,23101483,medical audit
529,23101483,remote consultation/*methods
529,23101483,telemedicine/*methods
529,23101483,ultrasonography
529,23101483,*videotape recording
530,22734802,"angina, unstable/epidemiology/nursing/*prevention & control"
530,22734802,coronary artery disease/epidemiology/nursing/*prevention & control
530,22734802,"health knowledge, attitudes, practice"
530,22734802,humans
530,22734802,motivation
530,22734802,myocardial infarction/epidemiology/nursing/*prevention & control
530,22734802,netherlands
530,22734802,nurse's role
530,22734802,patient education as topic
530,22734802,risk assessment
530,22734802,risk factors
530,22734802,*risk reduction behavior
530,22734802,secondary prevention/*methods
530,22734802,self care
530,22734802,*telemedicine
530,22734802,*telephone
530,22734802,time factors
530,22734802,treatment outcome pmc
531,22544910,ambulatory care/economics
531,22544910,cardiac resynchronization therapy/adverse effects/*economics
531,22544910,cardiac resynchronization therapy devices/adverse effects/*economics
531,22544910,chi-square distribution
531,22544910,cost savings
531,22544910,cost-benefit analysis
531,22544910,"defibrillators, implantable/adverse effects/*economics"
531,22544910,electric countershock/adverse effects/*economics/instrumentation
531,22544910,*health care costs
531,22544910,hospital costs
531,22544910,humans
531,22544910,"insurance, health, reimbursement"
531,22544910,italy
531,22544910,"models, economic"
531,22544910,"monitoring, ambulatory/*economics/instrumentation"
531,22544910,predictive value of tests
531,22544910,prospective studies
531,22544910,quality of life
531,22544910,registries
531,22544910,*research design
531,22544910,telemedicine/*economics/instrumentation
531,22544910,telemetry/*economics/instrumentation
531,22544910,time factors
531,22544910,treatment outcome pmc
532,22616194,equipment design
532,22616194,health services accessibility/*trends
532,22616194,*healthcare disparities
532,22616194,humans
532,22616194,"monitoring, physiologic/*instrumentation"
532,22616194,telemedicine/*instrumentation
532,22616194,*wireless technology
533,22283357,*access to information
533,22283357,cardiovascular diseases/diagnosis
533,22283357,cell phone/*instrumentation
533,22283357,electrocardiography/*instrumentation
533,22283357,"emergency service, hospital"
533,22283357,humans
533,22283357,*multimedia
533,22283357,predictive value of tests
533,22283357,statistics as topic
533,22283357,telemedicine/*instrumentation/methods/organization & administration
533,22283357,text messaging/*instrumentation
533,22283357,turkey
534,22465288,blood pressure
534,22465288,*cell phone
534,22465288,delivery of health care
534,22465288,*expert systems
534,22465288,female
534,22465288,heart failure/physiopathology/psychology/*therapy
534,22465288,humans
534,22465288,male
534,22465288,middle aged
534,22465288,"*monitoring, physiologic"
534,22465288,physicians/*psychology
534,22465288,*telemedicine
535,22413982,feasibility studies
535,22413982,"heart defects, congenital/nursing/*surgery"
535,22413982,heart ventricles/*surgery
535,22413982,*home care services
535,22413982,humans
535,22413982,infant
535,22413982,"infant, newborn"
535,22413982,nurse practitioners
535,22413982,oximetry
535,22413982,risk assessment
535,22413982,telemedicine/*instrumentation/methods
535,22413982,weight gain
536,22588319,adult
536,22588319,aged
536,22588319,"aged, 80 and over"
536,22588319,confidence intervals
536,22588319,female
536,22588319,heart failure/*diagnosis/mortality/pathology
536,22588319,humans
536,22588319,kaplan-meier estimate
536,22588319,male
536,22588319,middle aged
536,22588319,netherlands
536,22588319,stroke volume
536,22588319,telemedicine/*methods
536,22588319,time factors
536,22588319,"ventricular function, left"
537,23242192,ambulatory care
537,23242192,"arrhythmias, cardiac/mortality/*therapy"
537,23242192,cause of death
537,23242192,"defibrillators, implantable/*adverse effects"
537,23242192,female
537,23242192,follow-up studies
537,23242192,humans
537,23242192,male
537,23242192,middle aged
537,23242192,"monitoring, ambulatory"
537,23242192,prospective studies
537,23242192,remote consultation
537,23242192,treatment outcome pmc
538,21029128,aged
538,21029128,"arrhythmias, cardiac/*diagnosis/epidemiology/*prevention & control"
538,21029128,cardiac resynchronization therapy/*statistics & numerical data
538,21029128,early diagnosis
538,21029128,"electrocardiography, ambulatory/*statistics & numerical data"
538,21029128,equipment failure/*statistics & numerical data
538,21029128,follow-up studies
538,21029128,humans
538,21029128,italy/epidemiology
538,21029128,male
538,21029128,medical errors/*prevention & control/*statistics & numerical data
538,21029128,risk assessment
538,21029128,risk factors
538,21029128,telemedicine/statistics & numerical data
538,21029128,treatment outcome
539,21606019,*algorithms
539,21606019,"electrocardiography, ambulatory/*instrumentation"
539,21606019,humans
539,21606019,"signal processing, computer-assisted/*instrumentation"
539,21606019,telemedicine/*instrumentation
539,21606019,wavelet analysis
539,21606019,wireless technology/*instrumentation
540,21925836,*cell phone
540,21925836,district of columbia
540,21925836,echocardiography/*instrumentation/*methods
540,21925836,equipment design
540,21925836,equipment failure analysis
540,21925836,female
540,21925836,heart diseases/*diagnostic imaging
540,21925836,humans
540,21925836,male
540,21925836,reproducibility of results
540,21925836,sensitivity and specificity
540,21925836,telemedicine/*instrumentation/*methods
541,23365989,emergencies
541,23365989,exercise therapy
541,23365989,"health records, personal"
541,23365989,health status
541,23365989,heart diseases/physiopathology/*rehabilitation
541,23365989,heart rate
541,23365989,humans
541,23365989,linear models
541,23365989,"models, cardiovascular"
541,23365989,"pulmonary disease, chronic obstructive/physiopathology/*rehabilitation"
541,23365989,telemedicine/*methods
541,23365989,telemetry/*methods
542,22328237,*cell phone
542,22328237,electrocardiography
542,22328237,heart failure/physiopathology/*psychology
542,22328237,humans
542,22328237,"monitoring, physiologic/*methods"
542,22328237,physicians/*psychology
542,22328237,*telemedicine pmc cois
543,21484712,aged
543,21484712,coronary disease/mortality/*therapy
543,21484712,female
543,21484712,heart failure/mortality/*therapy
543,21484712,humans
543,21484712,randomized controlled trials as topic
543,21484712,*remote consultation
543,21484712,survival rate
543,21484712,switzerland
543,21484712,*telemetry
543,21484712,treatment outcome
544,21993595,atrial fibrillation/*diagnosis/*therapy
544,21993595,*clinical trials as topic
544,21993595,combined modality therapy
544,21993595,"electrocardiography, ambulatory/*methods"
544,21993595,humans
544,21993595,information storage and retrieval/*methods
544,21993595,telemedicine/*methods pmc
545,22888158,female
545,22888158,heart diseases/*congenital/*therapy
545,22888158,*home care services
545,22888158,humans
545,22888158,infant
545,22888158,male
545,22888158,prospective studies
545,22888158,*remote consultation
545,22888158,*telephone
545,22888158,*videoconferencing
546,21321467,aged
546,21321467,"aged, 80 and over"
546,21321467,"arrhythmias, cardiac/*therapy"
546,21321467,"*defibrillators, implantable"
546,21321467,feasibility studies
546,21321467,female
546,21321467,follow-up studies
546,21321467,humans
546,21321467,japan
546,21321467,male
546,21321467,middle aged
546,21321467,patient satisfaction
546,21321467,prospective studies
546,21321467,quality of health care
546,21321467,remote consultation/*instrumentation
546,21321467,surveys and questionnaires
546,21321467,telemetry/*instrumentation
546,21321467,treatment outcome
547,21349204,acute coronary syndrome/complications/psychology/*therapy
547,21349204,adult
547,21349204,*affect
547,21349204,aged
547,21349204,"aged, 80 and over"
547,21349204,clinical protocols
547,21349204,depressive disorder/complications/psychology/*therapy
547,21349204,feasibility studies
547,21349204,humans
547,21349204,middle aged
547,21349204,prospective studies
547,21349204,telemedicine/*methods
547,21349204,young adult pmc
548,21611994,cardiac volume
548,21611994,"echocardiography, four-dimensional/*methods"
548,21611994,female
548,21611994,fetal heart/*diagnostic imaging
548,21611994,gestational age
548,21611994,"heart defects, congenital/*diagnostic imaging/embryology"
548,21611994,humans
548,21611994,"*image interpretation, computer-assisted"
548,21611994,observer variation
548,21611994,pregnancy
548,21611994,"pregnancy trimester, second"
548,21611994,prospective studies
548,21611994,*telemedicine/methods
548,21611994,"*ultrasonography, prenatal"
549,22356529,aged
549,22356529,chronic disease/therapy
549,22356529,cost-benefit analysis/*statistics & numerical data
549,22356529,female
549,22356529,germany
549,22356529,heart failure/*economics/*therapy
549,22356529,humans
549,22356529,male
549,22356529,middle aged
549,22356529,patient education as topic/economics
549,22356529,precision medicine/*economics
549,22356529,retrospective studies
549,22356529,self care/*economics
549,22356529,telemedicine/*economics
550,22045925,aged
550,22045925,analysis of variance
550,22045925,antihypertensive agents/therapeutic use
550,22045925,cardiac care facilities/*statistics & numerical data
550,22045925,cooperative behavior
550,22045925,female
550,22045925,general practitioners/*statistics & numerical data
550,22045925,heart failure/drug therapy/*mortality
550,22045925,hospitalization/*statistics & numerical data
550,22045925,humans
550,22045925,male
550,22045925,risk factors
550,22045925,severity of illness index
550,22045925,stroke volume
550,22045925,telemedicine/*instrumentation/methods
550,22045925,treatment failure
550,22045925,"ventricular function, left"
551,21139017,adolescent
551,21139017,cardiopulmonary resuscitation/*education/psychology
551,21139017,*cell phone
551,21139017,data collection
551,21139017,delivery of health care/*standards
551,21139017,emergencies
551,21139017,*emergency medical service communication systems
551,21139017,female
551,21139017,heart arrest/diagnosis/*therapy
551,21139017,helping behavior
551,21139017,humans
551,21139017,male
551,21139017,remote consultation/standards
551,21139017,*videoconferencing
551,21139017,young adult
552,22267307,aged
552,22267307,cardiology/methods
552,22267307,electrocardiography/*instrumentation/methods/*standards
552,22267307,female
552,22267307,heart diseases/*diagnosis
552,22267307,humans
552,22267307,male
552,22267307,middle aged
552,22267307,self care/*methods
552,22267307,telemedicine/*methods
552,22267307,telemetry/*methods
553,22254766,actigraphy/instrumentation
553,22254766,"arrhythmias, cardiac/*diagnosis/mortality"
553,22254766,"death, sudden, cardiac/*prevention & control"
553,22254766,"diagnosis, computer-assisted/*instrumentation/methods"
553,22254766,equipment design
553,22254766,equipment failure analysis
553,22254766,humans
553,22254766,reproducibility of results
553,22254766,sensitivity and specificity
553,22254766,telemedicine/*instrumentation/methods
553,22254766,telemetry/instrumentation/methods
553,22254766,triage/*methods
553,22254766,*user-computer interface
553,22254766,*vital signs
554,23096373,"*defibrillators, implantable"
554,23096373,heart arrest/*therapy
554,23096373,humans
554,23096373,"*monitoring, ambulatory"
554,23096373,*telemedicine
555,22636825,*diet
555,22636825,exercise/*physiology
555,22636825,female
555,22636825,health promotion/*methods
555,22636825,humans
555,22636825,*life style
555,22636825,male
555,22636825,remote consultation/*instrumentation
556,21036457,cardiopulmonary resuscitation/*methods
556,21036457,*cell phone
556,21036457,*emergency medical service communication systems
556,21036457,female
556,21036457,heart arrest/therapy
556,21036457,heart massage/*methods
556,21036457,humans
556,21036457,male
556,21036457,middle aged
556,21036457,remote consultation/*methods
556,21036457,video recording/*instrumentation
556,21036457,videoconferencing/*instrumentation
557,21962415,counseling
557,21962415,diuretics/administration & dosage
557,21962415,female
557,21962415,*health behavior
557,21962415,heart failure/pathology/*prevention & control
557,21962415,humans
557,21962415,male
557,21962415,middle aged
557,21962415,patient education as topic
557,21962415,program evaluation
557,21962415,*quality of life
557,21962415,*self care
557,21962415,severity of illness index
557,21962415,*telemedicine
557,21962415,treatment outcome pmc mid
558,23258817,"defibrillators, implantable/*statistics & numerical data"
558,23258817,"electrocardiography, ambulatory/*statistics & numerical data"
558,23258817,equipment failure/*statistics & numerical data
558,23258817,equipment failure analysis/methods/*statistics & numerical data
558,23258817,female
558,23258817,heart failure/*diagnosis/*epidemiology/prevention & control
558,23258817,humans
558,23258817,incidence
558,23258817,male
558,23258817,middle aged
558,23258817,reproducibility of results
558,23258817,risk assessment
558,23258817,risk factors
558,23258817,sensitivity and specificity
558,23258817,telemedicine/*statistics & numerical data
558,23258817,united states/epidemiology pmc
559,21349462,adult
559,21349462,aged
559,21349462,"*angioplasty, balloon, coronary"
559,21349462,biomarkers/blood
559,21349462,"cardiology service, hospital/organization & administration"
559,21349462,case-control studies
559,21349462,chi-square distribution
559,21349462,"creatine kinase, mb form/blood"
559,21349462,*electrocardiography
559,21349462,*emergency medical services/organization & administration
559,21349462,female
559,21349462,*health services accessibility/organization & administration
559,21349462,humans
559,21349462,length of stay
559,21349462,male
559,21349462,middle aged
559,21349462,myocardial infarction/*diagnosis/mortality/pathology/physiopathology/*therapy
559,21349462,myocardium/pathology
559,21349462,new jersey
559,21349462,predictive value of tests
559,21349462,program evaluation
559,21349462,prospective studies
559,21349462,quality of health care
559,21349462,stroke volume
559,21349462,*telemedicine/organization & administration
559,21349462,time factors
559,21349462,treatment outcome
559,21349462,triage
559,21349462,troponin i/blood
559,21349462,"ventricular function, left"
559,21349462,*wireless technology/organization & administration
560,22364308,adolescent
560,22364308,adult
560,22364308,age factors
560,22364308,aged
560,22364308,"aged, 80 and over"
560,22364308,*attitude to computers
560,22364308,"cardiology service, hospital/statistics & numerical data"
560,22364308,child
560,22364308,*communication
560,22364308,computer communication networks/*statistics & numerical data
560,22364308,electronic mail/statistics & numerical data
560,22364308,female
560,22364308,humans
560,22364308,male
560,22364308,middle aged
560,22364308,outpatients/psychology/*statistics & numerical data
560,22364308,rural population
560,22364308,scotland
560,22364308,surveys and questionnaires
560,22364308,telemedicine
560,22364308,young adult
561,21300305,aged
561,21300305,attitude to computers
561,21300305,automation/instrumentation/methods
561,21300305,*disease management
561,21300305,female
561,21300305,heart failure/*psychology/therapy
561,21300305,*home care services
561,21300305,hotlines/*instrumentation
561,21300305,humans
561,21300305,male
561,21300305,multivariate analysis
561,21300305,program evaluation
561,21300305,psychometrics
561,21300305,quality of life/*psychology
561,21300305,surveys and questionnaires
561,21300305,telemedicine/instrumentation/*methods
562,21138933,aged
562,21138933,"angioplasty, balloon, coronary/mortality/*statistics & numerical data"
562,21138933,denmark/epidemiology
562,21138933,electrocardiography
562,21138933,emergency medical services/*standards/statistics & numerical data
562,21138933,female
562,21138933,hospitalization/*statistics & numerical data
562,21138933,humans
562,21138933,kaplan-meier estimate
562,21138933,male
562,21138933,middle aged
562,21138933,myocardial infarction/*diagnosis/mortality
562,21138933,prospective studies
562,21138933,referral and consultation/*standards/statistics & numerical data
562,21138933,rural health
562,21138933,telemedicine
562,21138933,time factors
562,21138933,urban health
563,23143857,aged
563,23143857,ambulatory care facilities/*organization & administration/statistics & numerical  data
563,23143857,"arrhythmias, cardiac/nursing/*therapy"
563,23143857,cardiology
563,23143857,"*defibrillators, implantable"
563,23143857,feasibility studies
563,23143857,female
563,23143857,humans
563,23143857,male
563,23143857,middle aged
563,23143857,"models, organizational"
563,23143857,"models, statistical"
563,23143857,"monitoring, physiologic/adverse effects/*methods"
563,23143857,"*pacemaker, artificial"
563,23143857,program evaluation
563,23143857,"specialties, nursing"
563,23143857,telemedicine/*organization & administration/statistics & numerical data
563,23143857,telephone
563,23143857,workload/statistics & numerical data
564,22530385,biomedical technology/instrumentation/*methods
564,22530385,"electrocardiography, ambulatory/instrumentation/methods"
564,22530385,germany
564,22530385,heart failure
564,22530385,humans
564,22530385,"monitoring, physiologic/instrumentation/methods"
564,22530385,netherlands
564,22530385,telemedicine/instrumentation/*methods
565,21406672,"blood pressure monitoring, ambulatory"
565,21406672,body weight/physiology
565,21406672,"cholesterol, ldl/blood"
565,21406672,follow-up studies
565,21406672,glycated hemoglobin a/metabolism
565,21406672,humans
565,21406672,interviews as topic
565,21406672,longitudinal studies
565,21406672,myocardial infarction/blood/physiopathology/*prevention & control
565,21406672,"outcome assessment, health care"
565,21406672,*patient education as topic
565,21406672,recurrence
565,21406672,research design
565,21406672,risk factors
565,21406672,*secondary prevention
565,21406672,software
565,21406672,*telemedicine
566,20615505,chronic disease
566,20615505,cost-benefit analysis
566,20615505,disease management
566,20615505,heart failure/mortality/*therapy
566,20615505,humans
566,20615505,kaplan-meier estimate
566,20615505,multivariate analysis
566,20615505,netherlands/epidemiology
566,20615505,"outcome assessment, health care"
566,20615505,patient admission/statistics & numerical data
566,20615505,patient care planning/*organization & administration
566,20615505,patient compliance
566,20615505,patient education as topic/*organization & administration
566,20615505,program evaluation
566,20615505,prospective studies
566,20615505,quality-adjusted life years
566,20615505,self care
566,20615505,telemedicine/instrumentation/*organization & administration
566,20615505,"therapy, computer-assisted/*organization & administration"
567,21193439,aged
567,21193439,cost-benefit analysis
567,21193439,female
567,21193439,heart failure/*economics/*therapy
567,21193439,hospitalization/*economics/statistics & numerical data
567,21193439,humans
567,21193439,male
567,21193439,middle aged
567,21193439,"*models, economic"
567,21193439,"monitoring, physiologic/*economics"
567,21193439,randomized controlled trials as topic
567,21193439,telemedicine/*economics
567,21193439,treatment outcome
568,20825815,echocardiography/methods
568,20825815,emergency medical services/methods
568,20825815,*emergency medical technicians
568,20825815,humans
568,20825815,pelvis/diagnostic imaging/injuries
568,20825815,remote consultation/*methods
568,20825815,time factors
568,20825815,wounds and injuries/*diagnostic imaging
569,21916616,adolescent
569,21916616,aged
569,21916616,"aged, 80 and over"
569,21916616,cell phone
569,21916616,electrocardiography
569,21916616,emergency medical services/*methods
569,21916616,female
569,21916616,humans
569,21916616,male
569,21916616,middle aged
569,21916616,myocardial infarction/*diagnosis/therapy
569,21916616,telemedicine/*instrumentation
569,21916616,young adult
570,21593955,ambulances/statistics & numerical data
570,21593955,angioplasty/statistics & numerical data
570,21593955,cardiac catheterization/statistics & numerical data
570,21593955,community networks/*organization & administration/statistics & numerical  data/supply & distribution
570,21593955,coronary care units/*organization & administration/statistics & numerical  data/supply & distribution
570,21593955,*electrocardiography
570,21593955,electronic health records
570,21593955,emergency medical services/*organization & administration
570,21593955,"emergency service, hospital/organization & administration/statistics & numerical  data"
570,21593955,fibrinolytic agents/therapeutic use
570,21593955,forms and records control
570,21593955,*health care surveys
570,21593955,health services accessibility
570,21593955,humans
570,21593955,italy
570,21593955,myocardial infarction/drug therapy/physiopathology/*therapy
570,21593955,patient admission/statistics & numerical data
570,21593955,"societies, medical"
570,21593955,telemedicine
570,21593955,transportation of patients
571,21502279,adult
571,21502279,age factors
571,21502279,aged
571,21502279,"aged, 80 and over"
571,21502279,atrial fibrillation/complications/*diagnosis/epidemiology
571,21502279,cell phone
571,21502279,chi-square distribution
571,21502279,*electrocardiography/instrumentation
571,21502279,*emergency medical services
571,21502279,female
571,21502279,humans
571,21502279,italy/epidemiology
571,21502279,male
571,21502279,middle aged
571,21502279,predictive value of tests
571,21502279,prevalence
571,21502279,prognosis
571,21502279,sensitivity and specificity
571,21502279,*telemedicine/instrumentation
571,21502279,*telemetry/instrumentation
572,21436363,aged
572,21436363,*american heart association
572,21436363,*cardiac resynchronization therapy
572,21436363,*clinical trials as topic
572,21436363,female
572,21436363,heart failure/*therapy
572,21436363,humans
572,21436363,male
572,21436363,middle aged
572,21436363,mineralocorticoid receptor antagonists/therapeutic use
572,21436363,morpholines/therapeutic use
572,21436363,"natriuretic peptide, brain/therapeutic use"
572,21436363,peptide fragments/therapeutic use
572,21436363,rivaroxaban
572,21436363,*telemedicine
572,21436363,thiophenes/therapeutic use
572,21436363,united states
573,23138083,emergency medical services/*methods
573,23138083,geographic information systems/*instrumentation
573,23138083,humans
573,23138083,"monitoring, ambulatory/instrumentation/*methods"
573,23138083,telecommunications
573,23138083,telemedicine/instrumentation/*methods
574,21999637,chronic disease
574,21999637,*clinical protocols
574,21999637,"data interpretation, statistical"
574,21999637,heart failure/*drug therapy
574,21999637,humans
574,21999637,*medication adherence
574,21999637,research design
574,21999637,*telemedicine pmc
575,21752280,aged
575,21752280,"aged, 80 and over"
575,21752280,*ambulatory care facilities
575,21752280,cost-benefit analysis
575,21752280,*disease management
575,21752280,endpoint determination
575,21752280,evaluation studies as topic
575,21752280,heart failure/drug therapy/*physiopathology
575,21752280,humans
575,21752280,"monitoring, physiologic/*methods"
575,21752280,netherlands
575,21752280,quality-adjusted life years
575,21752280,surveys and questionnaires
575,21752280,*telecommunications pmc
576,21402493,adult
576,21402493,aged
576,21402493,feasibility studies
576,21402493,female
576,21402493,*health behavior
576,21402493,heart failure/diagnosis/*therapy
576,21402493,"hospitals, university"
576,21402493,humans
576,21402493,male
576,21402493,middle aged
576,21402493,"monitoring, physiologic/methods"
576,21402493,patient acceptance of health care/*statistics & numerical data
576,21402493,patient satisfaction/*statistics & numerical data
576,21402493,prospective studies
576,21402493,spain
576,21402493,"statistics, nonparametric"
576,21402493,telemedicine/*statistics & numerical data
577,23112734,computer communication networks
577,23112734,humans
577,23112734,"monitoring, ambulatory/*methods"
577,23112734,telemedicine/*methods
577,23112734,telemetry/*methods
577,23112734,wireless technology pmc
578,22374372,"arrhythmias, cardiac/*diagnosis/physiopathology"
578,22374372,artificial intelligence
578,22374372,"databases, factual"
578,22374372,electrocardiography/classification/*methods
578,22374372,humans
578,22374372,medical informatics
578,22374372,"monitoring, physiologic/methods"
578,22374372,reproducibility of results
578,22374372,sensitivity and specificity
578,22374372,"*signal processing, computer-assisted"
578,22374372,telemedicine/*methods
579,21733889,heart failure/mortality/*therapy
579,21733889,humans
579,21733889,"*monitoring, ambulatory"
579,21733889,"*outcome assessment, health care"
579,21733889,randomized controlled trials as topic
579,21733889,*telemedicine
579,21733889,*telephone
580,21036454,adult
580,21036454,belgium
580,21036454,cardiopulmonary resuscitation/*education/methods
580,21036454,*emergency medical service communication systems
580,21036454,female
580,21036454,follow-up studies
580,21036454,heart arrest/*therapy
580,21036454,heart massage/*methods
580,21036454,humans
580,21036454,*language
580,21036454,life support systems
580,21036454,male
580,21036454,prospective studies
580,21036454,remote consultation/*methods
580,21036454,*volunteers
580,21036454,young adult
581,22719063,atrial fibrillation/diagnosis/*surgery
581,22719063,body surface potential mapping/*instrumentation
581,22719063,catheter ablation/*instrumentation
581,22719063,equipment design
581,22719063,equipment failure analysis
581,22719063,female
581,22719063,germany
581,22719063,humans
581,22719063,magnetics/*instrumentation
581,22719063,male
581,22719063,micromanipulation/instrumentation
581,22719063,middle aged
581,22719063,netherlands
581,22719063,robotics/*instrumentation
581,22719063,"surgery, computer-assisted/*instrumentation"
581,22719063,systems integration
581,22719063,telemedicine/*instrumentation
581,22719063,treatment outcome
582,21411210,aged
582,21411210,female
582,21411210,heart failure/*diagnosis/epidemiology/psychology
582,21411210,hospitalization
582,21411210,humans
582,21411210,length of stay
582,21411210,male
582,21411210,middle aged
582,21411210,"monitoring, ambulatory/*methods"
582,21411210,myocardial ischemia/complications
582,21411210,outpatients
582,21411210,patient readmission/statistics & numerical data
582,21411210,prospective studies
582,21411210,quality of life
582,21411210,telemedicine/*methods
582,21411210,telemetry
583,22255016,bayes theorem
583,22255016,heart failure/*physiopathology
583,22255016,humans
583,22255016,"monitoring, physiologic/*methods"
583,22255016,*telemedicine pmc mid
584,23268695,aged
584,23268695,"aged, 80 and over"
584,23268695,comorbidity
584,23268695,female
584,23268695,health services/statistics & numerical data
584,23268695,health status
584,23268695,heart failure/*therapy
584,23268695,humans
584,23268695,male
584,23268695,mental health
584,23268695,patient compliance/*statistics & numerical data
584,23268695,patient satisfaction
584,23268695,retrospective studies
584,23268695,telemedicine/*organization & administration/*statistics & numerical data
584,23268695,time factors
584,23268695,united states
584,23268695,veterans
585,22199363,adult
585,22199363,cardiopulmonary resuscitation/*education/*methods
585,22199363,*defibrillators
585,22199363,echocardiography
585,22199363,electrocardiography
585,22199363,emergency treatment/methods
585,22199363,equipment design
585,22199363,germany
585,22199363,heart arrest/therapy
585,22199363,humans
585,22199363,male
585,22199363,middle aged
585,22199363,ships
