,PMID,Other_term
1395,29067651,ambulatory care sensitive conditions---digital interventions---racial disparities---mhealth
1396,28193604,aha scientific statements---cardiology---pediatrics---telemedicine
1397,28084972,chd---remote monitoring---cardiac implantable electronic devices---paediatrics---remote interrogation
1399,28249991,cardiac risk factors and prevention---coronary artery disease---ehealth/telemedicine/mobile health cois
1400,28043988,cardiac surgery---postoperative assessment---quality improvement---service delivery---virtual clinic
1401,28544230,randomized blocked design---cardiovascular---diabetes---international---self-management---telehealth
1402,30308242,cardiomems---telehealth---heart failure---remote patient monitoring
1403,30537895,telemedicine---chronic respiratory failure---mechanical ventilation---paediatric home care---tracheostomy---ventilator-dependent children
1404,28555549,cape verde---cardiology---child---heart diseases---pediatrics---portugal---telemedicine
1405,28710094,"caregivers---cost-benefit analysis---dialysis---government---health status---hemodialysis, home---humans---patient satisfaction---pulmonary disease, chronic obstructive---self care---telemedicine---diabetes mellitus---heart failure---hypertension---monitoring---renal dialysis"
1409,29654096,cardiac rehabilitation---health care economics---systemic review cois
1411,28359169,heart failure---e-health---home monitoring---monitoring---remote---telemonitoring---telerehabilitation
1412,29455685,e-health---evaluation---hta---m-health
1413,29936593,fault-tolerant---healthcare services---medical centre failure---network failure---sensor---server failure---telemedicine---triage---mhealth
1414,29699854,disease management---heart failure---medication adherence---software application
1415,29297569,cardiac cases---cardiovascular disease---merchant ships---tele-medical assistance
1416,28302916,biomarker---emerging therapies---heart failure---personalized medicine---telemonitoring
1417,28537509,chronic patient---disease management---e-health---home care---telemedicine
1421,30025615,cardiac rehabilitation---discrete choice experiment---patient preferences
1423,28302050,obesity---paediatric cardiology---privacy---security---web-based technology---e-health
1424,30276799,aboriginal---diabetes---postpartum period---postpartum screening---text messaging
1427,30189879,digital health---omics---personalized health---thriving---dhealth---ehealth---mhealth
1429,30573351,coping---cortisol---heart rate---internet-based stress management training---psychological stress---trier social stress test for groups tsst-g
1430,28652225,internet---body weight maintenance---delivery of health care---obesity---overweight---review---telemedicine---treatment outcome---weight loss cois
1432,28849391,digital transformation---healthcare system---scenario analysis---success factors---telemedicine
1433,28153000,cardiovascular---diabetes---protocol---randomized controlled trial---readmission---self-efficacy---transitional care
1434,29677972,hypertension---blood pressure---mobile application---mobile health
1436,30418101,cardiology/cardiovascular disease---home health monitoring---telehealth---telemedicine cois
1438,30328780,iso/ieee 11073---device interoperability---e-health---heart sound---personal health device---standardized framework modeling---telemedicine
1439,30327135,access to care---accès aux soins---alternative proposal---cardiac rehabilitation---propositions alternatives---réadaptation cardiaque
1440,30171267,eko---electronic stethoscope---teleauscultation---telecardiology
1442,29040548,app---application---atrial fibrillation---education---guidelines---management---mobile---smartphone---treatment
1443,28434913,asthma---chronic illness---prevention---telemedicine
1444,30372365,ahrs---home health monitoring---telehealth---telemedicine---wrist blood pressure monitor
1447,28523862,pediatric cardiology---telemedicine---videoconferencing
1452,30058505,chronic disease---costs---home-based---telemedicine
1453,29739740,cardiovascular diseases---exercise---rehabilitation---telemedicine
1454,28764695,"australia---compliance---healthdirect helpline---older patients---telephone triage cois population and health services research ethics committee, act health human research ethics committee. the 45 and up study was approved by the university of new south wales human research ethics committee. the 45 up and up study participants provided signed consent for follow-up and linkage of their information to routine health databases [33]. consent for publication: not applicable. competing interests: the authors of this manuscript declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1455,28768610,behavior---cardiovascular disease---exercise---systematic review---telemedicine cois
1456,27896780,anticoagulant test strips---blood coagulation---cardiac disease---clotting cascade---coagu app
1459,30311064,cognitive radio network(crn)---double space-time transmit diversity(d-sttd)---internet of things(iot)---multi-user interference (mui)---primary user-interference(pui)---radio frequency identification (rfid)
1460,28575235,heart failure---implantable devices---remote monitoring
1462,30482130,community and home care---decision making---heart failure---self-care---telemedicine
1463,30400587,android™---ecg---holter---stm32f microcontroller---rural areas---signal compression low-bandwidth---telemedicine cois
1465,29251245,heart failure---hospital admission---long-term effects---mortality---telemonitoring
1467,29843676,"adherence---bipolar disorders---mars-d---mental health disorders---non-adherence---psychiatry---psychotic disorders---schizophrenia cois committee of the university medicine greifswald (bb 122/14). the committee stated that the majority of the members of the committee concluded that there are no ethical and legal concerns against the implementation of the study, and therefore approves the proposal. tecla is retrospectively registered at 2015\05\21 at the german clinical trials register (drks00008548). imes is also approved by the ethics committee of the university medicine greifswald; bb 017/15. all patients had to sign an informed consent to participate. all appropriate legal guardians or representatives were informed about the participation. all guardians or representatives indicated that the patients were capable of providing ethical consent to participate. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1468,28840312,configuration---disease management---framework---telemedical service centre---telemonitoring
1469,29486994,systematic review---telehealth---telephone---videconference---virtual education---web
1470,30455167,cardiac rehabilitation---diet---ehealth---health resources---physical activity cois
1471,29680866,e-health---heart rate monitoring---home health monitoring---sensor technology---telehealth---wireless sensor networks
1472,30632923,cardiology/cardiovascular disease---telecardiology---telehealth---telemedicine
1475,28861901,internet---electrophysiology-basic---patient
1476,30037001,activities of daily living---ontology development---ontology validation---post-hoc annotation---self-annotation cois
1477,29374674,cardiovascular risk factors---coronary heart disease---medication adherence---mhealth---secondary prevention---text message cois
1478,28917438,electrocardiogram---image transmission---mobile phone
1484,29278986,telemedicine---electronic health records---medication protocol---population health---registered dietitian
1486,28756266,behavior change---chronic disease management---congestive heart failure---hospital admission---hospital readmission---telehealth---video conferencing
1488,28464700,heart rate measurement---mhealth---smartphone applications
1490,28910238,care continuum---heart failure---post-acute care---readmission prevention---telehealth---telemanagement---telemedicine
1491,29021334,cardiology---heart failure---patient care---telehealth---weather
1494,29246881,chronic disease---primary health care---telemedicine cois
1495,29170147,"algorithms---call centers---cardiac resynchronization therapy---defibrillators, implantable---electric impedance---telemedicine cois"
1497,30528214,atrial fibrillation---e-health---frequency domain---rhythm classification---time domain
1501,30527479,consumer health informatics---health information technology---patient portal---pediatric surgery---secure messaging cois product mentioned or concept discussed in this article.
1502,28917688,clinical trial---devices---mobile health---outcomes---pocket-echocardiography---structural heart diseases
1504,29024613,chronic kidney disease---economics---end-stage renal disease---peritoneal dialysis---remote therapy management---telemedicine
1506,29100841,cardiac rehabilitation---secondary prevention---telehealth
1507,29758404,appropriate shocks---arrhythmias---inappropriate shocks---oversensing---subcutaneous icd
1509,29862723,ecg monitoring---cardiac arrest---immediate recognition---pre-hospital emergency
1510,30474927,aboriginal health---blood pressure telemonitoring---case management---hypertension---mhealth---pharmacist cois mm hg inc
1511,29848400,chd---feeding---infants---telehealth---telemedicine---transitional care model
1512,29252119,cardiovascular surgical procedures---critical care---extracorporeal membrane oxygenation---mortality---pediatrics---telemedicine
1513,28140834,e-health---mobile health---photoplethysmography---pulse rate---smartphone
1514,28353681,body area network (ban)---coronary heart disease (chd)---electrocardiography (ecg)---mobile health (mhealth)---seismocardiography (scg)---warning system cois
1516,30181202,cardiac imaging and diagnostics---echocardiography---ehealth/telemedicine/mobile health---heart disease cois
1517,30040701,co-design---consumer application---mhealth---participatory design---user-centred design
1519,29806509,rtmus---remote tele-mentored ultrasound---tele-icu---tele-intensivist---tele-ultrasound
1521,30561284,e-health---pediatrics---telehealth---telemedicine cois
1522,29334344,care-cite: carepartner and constraint-induced therapy---cimt: constraint-induced movement therapy---stroke---caregiver---constraint-induced movement therapy---family---self-management---telehealth---upper extremity cois conflict of interest: the authors have no conflict of interests to declare
1523,30213475,angiography---diagnostic accuracy---electrocardiogram---prehospital---stemi
1524,29650305,dicom images---dwt---fuzzy chaotic---image encryption---watermarking
1525,30150326,apps---coronary heart disease---medication adherence---mhealth---smartphone cois
1526,28986005,digital technology---functioning---heart rate---mobile health---psychosis---schizophrenia
1527,28094679,ecmo---transport---congenital heart disease---tele-echocardiography---telemedicine
1529,28441656,cardiac auscultation---heart sounds---murmurs---real-time sound wave visualization---smartphone phonocardiogram app
1531,29967036,"blood pressure---cardiovascular disease---hypertension---smartphone---vital signs cois time of the study, makers of the health tracking devices used in the study. nokia provided funding towards doing this research. the manuscript was written primarly by scripps investigators (bdm) that no report a conflict of interest, and who had the final say on the presentation of the results."
1532,30623786,children with medical complexity---home monitoring---information---needs---mhealth
1533,28593423,cardiovascular diseases---costs and cost analysis---heart failure---telemedicine---telemonitoring
1534,29954184,heart failure---monitoring algorithms---telemonitoring programmes cois conflict of interest.
1535,28350282,cardiac rehabilitation---coronary artery diseases---education and motivation---m-health
1538,28747536,cardiac arrest---ehealth/telemedicine/mobile health cois
1539,29422170,heart failure---mobile application heartmapp---technology-based intervention---the business model canvas
1540,28315728,bystander cpr---cardiac arrest---nhs pathways---paediatric---resuscitation---triage
1541,29339348,heart failure---outcome and process assessment (health care)---program evaluation---telemedicine cois
1542,28560509,"coronary ct angiography---coronary artery disease---mobile---smartphone---iphone cois relationships: siemens medical systems, research grant support, and hip graphics, co-founder. the other authors have no competing interests or disclosures to declare. irb statement: this research was approved by the institutional review board."
1543,29193654,human-centered---interactive health technology---self-management---solid organ transplantation---willingness to use
1544,30068250,smartphone---elderly---mhealth---physical activity---remote monitoring---telehealth
1545,29969378,bluetooth scale---medicare---disease management---heart failure---heart failure management---remote monitoring
1546,30485832,"clinical protocols---clinical trial---ehealth---mhealth---mobile health---publication bias---publications---randomized controlled trial---registries---telehealth---telemedicine cois internet research (and publisher at jmir publications) but was not involved in the peer-review or decision-making process for this paper. the associate editor handling this manuscript and the reviewers were blinded and not aware of the co-authorship of ge. as owner of jmir publications, ge may benefit from increased publication rates of digital health trials. the other authors declare no conflicts of interests."
1547,29361856,acute coronary syndromes---ecg/electrocardiogram---acute myocardial infarction---ehealth/telemedicine/mobile health
1549,30040702,participatory design---co-design---healthcare professionals---needs analysis---requirements
1550,29507261,ageing population---digital enhanced living---elderly---emotion-oriented development approach---emotions---independent living---smart home
1551,28939459,heart failure---meta-analysis---systematic review---telemonitoring
1552,28809190,co-design---design thinking---application---heart failure---mhealth---self-management
1553,30247080,adoption---elderly---heart failure---patient empowerment---self-care---seniors---telemonitoring
1554,30245122,convolutional neural networks---deep learning---ecg classification---cardiac arrhythmias
1556,28952660,tele-medical maritime assistance service (tmas)---cruise ferry---helicopter evacuation (helivac)---maritime medicine---medical patient transfer---paramedic
1557,29969990,"anxiety---depression---device acceptance---heart disease---implantable cardioverter defibrillator---patient-centered tools---quality of life---ehealth intervention cois and oral information about the study and sign an informed consent form prior to enrollment. the study protocol was submitted to the regional committees on health research ethics for southern denmark, who indicated that according to danish law about ethics related to health research (§ 14, 1), ethical committee approval is not required (vek #s-20160063, june 13, 2016). consent for publication: not applicable. competing interests: the authors declare that they have no competing interests, except cjb who owns shares in liva healhcare as, the company that has developed parts of the technical platform, liva, used in the study. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1558,29803850,alerts---implantable cardioverter-defibrillator---remote follow-up---remote monitoring---telemedicine
1559,28696832,heart failure---m-health---older adults---symptoms---telemedicine cois
1560,29636040,chronic heart failure---health costs---propensity score matching---reimbursement data---telemedical monitoring cois health insurance data were used in this study. the statutory health insurance aok nordost supplied completely de-identified data and gave us permission to analyze the data in this project and to publish the results in aggregated form. consent for publication: not applicable competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
1561,29525507,geriatrics---heart failure---telemedicine
1563,28138988,chronic heart failure---propensity score matching---reimbursement data---routine data---telemedical care---telemedical monitoring
1568,28486027,automated remote monitoring---chronic conditions---chronic illness---heart failure---safety net
1569,28550586,echocardiography---stress echocardiography---wall motion
1573,28833266,adverse events---ambulatory device implantation---home monitoring---telemedicine cois
1574,28840587,atrial fibrillation---cardiac rehabilitation---cardiac resynchronization therapy---electrophysiological study---mobile health---myocardial infarction---pulmonary veins isolation---remote electrocardiography---supraventricular tachycardia---telehealth---telemedicine
1575,30389067,adult---heart failure---self-care---technology
1577,28749320,exercise---fitness trackers---heart rate---mobile applications---physical fitness---telemedicine
1579,30185405,cognitive therapy---content analysis---depression---heart failure---internet---patient experience---telehealth cois
1582,28676054,devices---effectiveness---end-users---needs---telecare---telehealth
1585,30876715,chronic obstructive pulmonary disease---oxygen saturation---pulmonary rehabilitation---telerehabilitation---usability
1586,30297187,congenital heart disease---crowdfunding---guch---mobile health---ehealth
1587,29020993,b2c---business model---chf---financial analysis---telemonitoring cois publication: not applicable. competing interests: ag was an employee of philips at the time of this research. hv and ph received no monetary compensation from philips. rk is a regular employee of philips research. js was compensated by philips research via institutional agreement with erasmus university. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
1588,27812798,"health behavior---interventions---mobile apps---study design---websites---mhealth cois accordance with the ethical standards of the institutional and/or national research committee and with the 1964 helsinki declaration and its later amendments or comparable ethical standards. all the studies presented in this paper were approved by the appropriate institutional review board. funding: this study was funded by the following entitites: the south carolina clinical and translational research institute with an academic home at the medical university of south carolina ctsa nih/ncats grant number ul1tr000062 (pi: turner-mcgrievy); a university of south carolina advanced support for innovative research excellence—ii grant (pi: turner-mcgrievy); nih grant numbers 1r01gm081793 and p20 rr-016461 (pi: valafar); the national institute of diabetes and digestive and kidney diseases under award number r44dk103377 (pis: wirth, shivappa and hébert); a support to promote advancement of research and creativity (sparc) grant from the university of south carolina’s office of the vice president for research (pi: schoffman); and the national heart, lung, and blood institutes under award number 1r01hl112787 (pi: beets). the content is solely the responsibility of the authors and does not necessarily represent the official views of the national institutes of health. james r. hébert is the owner and drs. michael wirth and nitin shivappa are employees of connecting health innovations (chi), llc, a company planning to license the right to the dietary inflammatory index (dii) from the university of south carolina to develop computer and smartphone applications for patient counseling and dietary intervention in clinical settings. conflict of interest: the authors declare that they have no conflict of interest. the findings reported have not been previously published and that the manuscript is not being simultaneously submitted elsewhere. any previously reported data from the projects described in these case studies have been cited. the authors have had full control of all primary data and that they agree to allow the journal to review their data if requested. informed consent was obtained from all individual participants included in the study."
1589,28554497,30-day readmission---adherence---health informatics---heart failure---intervention---mobile devices---remote monitoring---self-care
1590,27896797,"low-income smokers---physical activity---smoking cue reactivity---telephone-based counseling cois (13crp14560028). aha is not involved in the study design, data collection, analysis or interpretation of data, and in the decision to submit the article for publication. research reported in this publication was also supported by an institutional development award (idea) center of biomedical research excellence from the national institute of general medical sciences of the national institutes of health under grant number p20gm113125 (fp). statement on human rights: all procedures were performed in studies involving human participants were in accordance with the ethical standards of the institutional review board and with the 1964 helsinki declaration and its later amendments or comparable ethical standards. statement on welfare of animals: this article does not contain any studies with animals performed by any of the authors. conflict of interests: none of the authors have any conflicts of interest associated with this manuscript. informed consent: informed consent was obtained from all individual participants included in the study. irb approval: the study was approved by temple university’s institutional review board (project # 21109)."
1591,28508799,cardiac edema---clinical decision support---heart failure---telemedicine---weight gain
1592,28891376,abdominal aortic aneurysm---distant teaching---endovascular aneurysm repair---remote teaching---telementoring
1594,29420125,cnns---rnns---deep learning---heart rate variability (hrv)---stress recognition---telehealth---telemedicine---ultra short-term hrv
1596,29853485,"atrial fibrillation---ehealth/telemedicine/mobile health---premature ventricular beats cois stake in the company, which holds intellectual property rights to the new algorithm tested in this work."
1597,29598988,chronic disease self-management---mental health---physical health---rural health---self-efficacy---social identification---telemedicine
1598,28215467,low-income settings---portable electrocardiograph---telemedicine---mhealth
1599,29419343,heart failure---hospital admission---hospitalisation---telehealth---telemedicine
1603,30570200,"blood pressure telemonitoring---case management---hypertension---pharmacist---secondary prevention---stroke cois government of alberta and the university of alberta. rp and pww are directors of a blood pressure measurement start‐up company, mmhg inc. fam is supported by the university of alberta chair in cardiovascular outcomes research. jas receives partial salary support from alberta health services. s.k. is supported by the kidney health research chair and the division of nephrology at the university of alberta. an abstract of this paper has been presented to the american heart association council on hypertension meeting (september 6‐9, 2018)."
1605,30316065,mobile sleep laboratory---sleep screening---smartphone---telemedicine---wearable technology
1606,29361269,atp---atpmetry---atpmétrie---bioluminescence---teledialysis---télédialyse
1607,30474909,chronic disease---disease management---health services---hypertension---indigenous---telemedicine---text messaging cois improve hypertension control in low‐ to middle‐income countries which includes travel support for site visits and a contract to develop a survey (2016‐2017). nrcc has provided paid consultative advice on accurate bp assessment to midway corporation (2016) and is an unpaid member of world action on salt and health (wash).
1610,30336847,acute kidney injury---cardiac surgery---ischaemic post-conditioning
1611,28916510,"comorbidity---defibrillators, implantable---follow-up studies---heart failure---shock"
1612,28750907,heart failure---older individuals---self care---supportive technology
1614,28549484,bcg vaccination---cognitive behavioral therapy---cytokines---immune system---psychophysiology---serious gaming---stress---e-health
1616,28150025,congenital heart disease---echocardiography---health informatics---internet---phonocardiography
1617,28490229,telehomecare---blood pressure---chronic obstructive pulmonary disease---heart failure---longitudinal data analysis
1619,29743026,behavior change---gestational weight gain---online intervention---pregnancy---randomized controlled trial cois the university of rochester research subject review board and the cornell university institutional review board. all participants provided written informed consent to participate. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
1620,28673308,maternal cardiac arrest---perimortem caesarean delivery---prehospital emergency hysterotomy---resuscitative hysterotomy cois publication: both families provided a written consent to use this information. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
1623,30350926,cardiomems---implantable haemodynamic monitoring---left ventricular assist device---pulmonary artery pressure monitoring
1625,29980522,brazil---st‐segment–elevation myocardial infarction---mortality---regional care---registry
1626,29577381,cost-effectiveness---critical care---education---emergency medicine---point-of-care ultrasound---remote consultation---telehealth---telemedicine
1627,30261836,"decision support system---disease management---health-related quality of life---heart failure---mhealth cois declaration of helsinki and has been approved by the ethical committees of the participating hospitals in both countries, with the university hospital ghent (belgium) and the lazio 1 of san camillo-forlanini hospital in rome (italy) as the central ethical committees. written informed consent is obtained from all participants prior to enrolment. the heartman wristband has been approved by the federal agency for medicine and health products and by the ministry of health in belgium and italy respectively. any modifications to the protocol which may impact on the conduct of the study, potential benefit of the patient or may affect patient safety, including changes of study objectives, study design, patient population, sample sizes, study procedures, or significant administrative aspects will be submitted as an amendment to the ethical committee. the study is registered at clinicaltrials.gov (nct03497871). consent for publication: not applicable. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1628,29498245,combined pre-capillary and post-capillary pulmonary hypertension---heart failure---implantable haemodynamic monitoring---isolated post-capillary pulmonary hypertension
1630,29893475,chronic heart failure---mitraclip---pulmonary artery pressure---remote monitoring
1633,28097627,"activity monitoring---african-american---community-based participatory research---obesity---physical activity---mhealth technology cois expressed in this manuscript are those of the authors and do not necessarily represent the views of the national heart, lung, and blood institute; the national institutes of health; or the u.s. department of health and human services. the authors declare that they have no conflict of interest. this study was funded by grant hl006168. funding for tp-w, ly, and vm is provided through the division of intramural research of the national heart, lung, and blood institute (nhlbi) of the national institutes of health (nih). funding for ca is provided through a professional services contract (contract #hhsn268201300173p) through the division of intramural research of nhlbi at nih. funding for st and ja-b is provided through the office of intramural training and education of the nih. funding for gw and ab is provided through the clinical center, nih. funding for mp-l is provided through the division of intramural research of nhlbi at nih. research involving human participants: statement of human rights: all procedures involving human participants performed in the washington, d.c. cv health and needs assessment study were in accordance with the ethical standards of the national heart, lung, and blood institute (nhlbi) institutional review board study and with the 1964 helsinki declaration and its later amendments or comparable ethical standards. informed consent: written informed consent was obtained from all individual participants included in the study."
1635,29864548,alaska native---cardiovascular risk factors---intervention---motivational---randomized controlled trial---smoking cessation---telemedicine cois expert witnesses against the tobacco companies in lawsuits for which they have received fees for the work and have provided consultation to pharmaceutical and technology companies that make medications and other treatments for quitting smoking. no other authors have any disclosures to report related to this work.
1636,29149862,antibiotics---antibiotics stewardship program---hospital infection---telemedicine cois publication: not applicable. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
1638,28114922,cystic fibrosis---health economics---health related quality of life---home monitoring---pulmonary exacerbations
1639,30485612,heart failure---hospitalization---mortality---self-care---telemedicine
1640,28768700,cardiopulmonary resuscitation---emergency medical services---telemedicine cois
1641,30156044,ehealth---obesity---physical activity---women
1642,28967584,fshd---multidisciplinary approach---neuromuscular disorders---repisratory failure---telemedicine---telerehabilitation
1643,28051761,heart failure---minority---self-efficacy---self-management---telemedicine---usability
1645,30193564,chronic heart failure---heart failure---telemedicine
1646,30241511,health-related quality of life---older adults---pacemaker follow-up---randomized study---remote monitoring---telemedicine cois regional ethics committee number: 2014/383/rek nord. the study was developed in accordance with the precepts of the declaration of helsinki. all patients signed the corresponding informed consent prior to their enrolment and appropriate measures were taken to ensure data privacy. clinicaltrials.gov nct02237404. consent for publication: not applicable. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations.
1648,30598367,echocardiography---home monitoring---pediatric heart transplant---pediatrics---portable echocardiography---telehealth
1649,30036634,cardiac surgery---heater-cooler unit---mycobacterium chimaera---non-tuberculous mycobacteria---patient infection
1650,30393915,endothelial function---exercise---heart transplant---live video conferencing
1651,27886024,e-health---telecardiology---telehealth
1652,28420352,alert fatigue---end-digit preference---self-report---telemedicine
1653,30081933,"access---palliative care---psychoeducational intervention---telehealth cois (birmingham, alabama), and the bvamc (birmingham, alabama). all patients and fcgs provided written informed consent. not applicable. the authors declare that they have no competing interests. springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1656,28521796,glycemic control---phone calls---telemedicine---type 2 diabetes mellitus
1658,29450689,disease management---heart failure---home healthcare---multidisciplinary---telemonitoring
1660,29678964,glaucoma---primary care---telemedicine cois
1661,29952216,formative evaluation---heart failure---palliative care---patient and caregiver perspectives---qualitative research
1662,28654302,chronic obstructive pulmonary disease---dyspnea---heart failure---meditation---relaxation---symptom management---telemedicine---yoga
1663,28119390,"asthma control---asthma exacerbation---ehealth---home-monitoring---mhealth---self-management cois personal fees from payments for lectures, outside the submitted work. osu reports grants from astrazeneca, personal fees from boehringer ingelheim, grants and personal fees from chiesi, personal fees from aerocrine, grants from glaxosmithkline, personal fees from napp, personal fees from mundipharma, personal fees from sandoz, grants from prosonix, personal fees from takeda, personal fees from zentiva, grants from edmond pharma, personal fees from cipla, outside the submitted work. jks reports grants from glaxosmithkline nl, grants from chiesi nl, outside the submitted work."
1664,29132622,consumer health information technology---geriatric heart failure---human factors---human-computer interaction---personas---user-centered design cois
1665,28244117,atrial fibrillation---atrial tachyarrhythmia burden---remote monitoring---stroke---supraventricular tachyarrhythmia
1666,30421438,atrial fibrillation---cardiac resynchronization therapy---implantable cardioverter defibrillator---pacemaker---remote monitoring---telemonitoring cois reported that they have no conflicts relevant to the contents of this paper to disclose.
1667,29441511,remote medical care---telecarding---telemedical
1668,30086778,"chronic kidney disease (ckd)---electronic decision support system (edss)---hypertension---india---nurse care coordinator (ncc)---public health system---task-sharing cois iec of the center for chronic disease control (ccdc), gurgaon, india (reference number: ccdc_iec_01_2017). written informed consent will be sought from the participants prior to enrollment in the study by the ncc. consent for publication: not applicable. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1669,29458404,"atrial fibrillation---care center---disease management program---evidence-based care---heart failure---hospitalization---integrated care---randomized controlled trial---telemedicine---treatment-resistant hypertension cois ethics committee of the medical faculty of the university of rostock on 18 july 2017, and its registration number is a 2017–0117. written informed consent for trial participation will be obtained from all patients prior to randomization. consent for publication: not applicable competing interests: armin brüge is an employee of philips medizin systeme böblingen gmbh. drs. henriette neumeyer and gisela hostenkamp are employees of philips gmbh market dach. dr. katja krockenberger is an employee of amedon gmbh, and bernard brandewiede is ceo of amedon gmbh. all other authors declare no conflict of interest. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1670,28484920,smartphone---telesonography---viewing of clinical imaging cois guri hospital. funding source: no external funding was secured for this study. financial disclosure: the authors have no financial relationships relevant to this article to disclose. conflict of interest: the authors declare that they have no conflicts of interest.
1671,29742959,cost-effectiveness---telecardiology---telemedicine
1673,28508792,cost comparison---cost effectiveness---economic evaluation---heart failure---telemedicine
1674,29488798,body mass index---fat mass percent---heart-healthy diet---information and communication technologies---mhealth---physical activity---waist circumference
1676,28615152,ehealth---mental health---patient-centered care---physician-patient relations cois
1677,29160826,black/african american---community-based participatory research---health disparities---mobile health technology---public health and health promotion---recruitment---underrepresented populations cois
1679,28659253,biomedical technology---heart failure---human activities---independent living cois
1680,29157233,"acute---barriers---consultation---facilitators---implementation---normalisation process theory---telemedicine cois human research ethics committees of the australian regional hospital, the national research ethics service (uk) and the university of central lancashire’s, buildings, sport and health ethics committee. participants provided written consent to participate in recorded interviews. consent for publication: not applicable; no individual patient data are reported. competing interests: the authors declared no competing interests nor potential conflicts of interest with respect to the research, authorship, and/or publication of this article. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1681,28458534,copd exacerbation---copd management---heart rate---telemedicine cois
1682,28176442,heart failure---implantable cardioverter-defibrillators---mortality---outcome---remote monitoring
1683,28533100,heart failure---heart rate variability---ischaemic heart disease---remote ischaemic conditioning
1684,28859648,"caregiver---heart failure---intervention development---palliative care---rural---telehealth cois the institutional review boards of dartmouth college (lebanon, new hampshire) and the university of alabama at birmingham (birmingham, alabama). all patients and family caregivers provided written informed consent. consent for publication: not applicable. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1685,30566211,myocardial revascularization---optimal cardiac rehabilitation---reduced rehospitalization rate---tele-rehabilitation cois
1686,29477974,atrial fibrillation---cha(2)ds(2)-vasc score---cardiac implantable electronic device---clinical predictor---remote monitoring
1687,30300744,depression---heart failure---heart function tests---self care---telephone
1688,30261884,"acute ischemic stroke patients---dyslipidemia---non-telestroke---telestroke---rtpa cois analysis, and was approved by institutional review board of greenville health system and the institutional committee for ethics. consent for publication: all co-authors agreed to the submission of the manuscript. competing interests: the authors declare that they have no competing interests. publisher’s note: springer nature remains neutral with regard to jurisdictional claims in published maps and institutional affiliations."
1689,32526627,coronavirus---covid-19---internet---mental health---pandemic---psychosocial---quarantine---sars-cov2---social media---stigma---telemedicine cois
1691,31706789,apple watch---atrial fibrillation---iecg---mhealth
1692,33387997,covid-19---sars-cov-2---ambulatory treatment---anti-infective---anti-inflammatory---anticoagulant---antiplatelet agent---antiviral---corticosteroid---hospitalization---mortality---sequenced multidrug therapy cois manuscript.
1694,31672308,biosensors---heart failure---wearable electronic devices
1697,32656626,pediatric cardiology---remote monitoring---telehealth---telemedicine cois
