,PMID,Publication_type
934,28700168,journal article
935,25906822,journal article
935,25906822,"research support, non-u.s. gov't"
935,25906822,review
936,27524474,journal article
936,27524474,review
937,27769282,journal article
937,27769282,randomized controlled trial
937,27769282,"research support, non-u.s. gov't"
938,27039130,comment
938,27039130,editorial
938,27039130,"research support, n.i.h., extramural"
939,29474713,journal article
939,29474713,review
939,29474713,systematic review
940,28025126,journal article
940,28025126,"research support, n.i.h., extramural"
940,28025126,"research support, non-u.s. gov't"
940,28025126,review
941,26462091,journal article
941,26462091,review
942,27373351,journal article
942,27373351,review
943,26546593,editorial
944,26462476,english abstract
944,26462476,journal article
944,26462476,review
945,25586005,journal article
945,25586005,review
946,27993487,journal article
946,27993487,review
947,26490012,journal article
947,26490012,multicenter study
947,26490012,randomized controlled trial
947,26490012,"research support, non-u.s. gov't"
948,25768664,journal article
948,25768664,"research support, non-u.s. gov't"
948,25768664,review
948,25768664,systematic review
950,27312144,journal article
950,27312144,review
951,26540369,journal article
951,26540369,randomized controlled trial
952,25961420,journal article
952,25961420,review
953,27998940,journal article
953,27998940,review
954,26863682,journal article
954,26863682,"research support, non-u.s. gov't"
955,27938842,editorial
956,26799726,journal article
956,26799726,review
957,26810595,journal article
958,26772623,journal article
958,26772623,review
959,27690674,journal article
959,27690674,review
960,27892420,journal article
960,27892420,review
961,26544175,journal article
961,26544175,"research support, n.i.h., extramural"
961,26544175,review
961,26544175,systematic review
962,26596821,journal article
962,26596821,review
963,25814456,journal article
963,25814456,review
964,26742680,journal article
964,26742680,"research support, non-u.s. gov't"
964,26742680,review
965,26556057,journal article
965,26556057,"research support, non-u.s. gov't"
965,26556057,review
966,26475050,journal article
966,26475050,"research support, non-u.s. gov't"
966,26475050,review
966,26475050,systematic review
967,27418264,journal article
967,27418264,review
968,26974003,case reports
968,26974003,journal article
968,26974003,review
969,27067360,comment
969,27067360,editorial
970,24972644,journal article
970,24972644,"research support, non-u.s. gov't"
970,24972644,review
971,28024459,journal article
971,28024459,"research support, non-u.s. gov't"
971,28024459,review
973,25559132,journal article
973,25559132,review
974,25341853,journal article
974,25341853,review
975,26337400,journal article
975,26337400,review
976,27405809,journal article
976,27405809,review
977,26759128,journal article
978,27543489,editorial
979,27923343,journal article
979,27923343,randomized controlled trial
980,26927832,journal article
980,26927832,review
981,29474718,comment
981,29474718,editorial
982,27813719,journal article
983,26540720,journal article
983,26540720,"research support, non-u.s. gov't"
984,25581147,journal article
984,25581147,"research support, non-u.s. gov't"
984,25581147,review
985,26049264,journal article
985,26049264,review
986,26061835,journal article
986,26061835,"research support, non-u.s. gov't"
987,25315192,journal article
988,27826901,journal article
988,27826901,review
989,27311090,consensus development conference
989,27311090,english abstract
989,27311090,journal article
990,27584926,journal article
990,27584926,review
991,28269253,journal article
992,26943979,journal article
992,26943979,review
993,25994466,english abstract
993,25994466,journal article
993,25994466,review
994,26037691,journal article
994,26037691,"research support, non-u.s. gov't"
994,26037691,review
995,25711335,comment
995,25711335,journal article
996,25755064,journal article
996,25755064,review
997,26778415,journal article
997,26778415,review
998,26983900,journal article
998,26983900,review
999,27574981,comment
999,27574981,editorial
1000,25754564,journal article
1000,25754564,"research support, n.i.h., extramural"
1000,25754564,review
1001,26942359,journal article
1001,26942359,"research support, n.i.h., extramural"
1001,26942359,review
1002,26484995,journal article
1002,26484995,review
1003,25287658,journal article
1003,25287658,review
1004,25900214,journal article
1005,25626549,journal article
1006,28029572,journal article
1006,28029572,meta-analysis
1006,28029572,"research support, non-u.s. gov't"
1006,28029572,review
1007,26626564,journal article
1007,26626564,"research support, non-u.s. gov't"
1008,26580216,journal article
1008,26580216,"research support, n.i.h., extramural"
1009,26817628,journal article
1009,26817628,meta-analysis
1009,26817628,review
1009,26817628,systematic review
1010,26919553,journal article
1010,26919553,"research support, non-u.s. gov't"
1010,26919553,review
1011,26928898,journal article
1011,26928898,"research support, non-u.s. gov't"
1011,26928898,review
1011,26928898,systematic review
1012,26736229,journal article
1014,25790799,journal article
1014,25790799,review
1015,25714962,journal article
1015,25714962,meta-analysis
1015,25714962,"research support, non-u.s. gov't"
1015,25714962,review
1015,25714962,systematic review
1016,26936904,journal article
1017,26042888,journal article
1017,26042888,review
1018,27379484,comment
1018,27379484,letter
1019,27379483,comment
1019,27379483,letter
1021,26842270,journal article
1021,26842270,observational study
1021,26842270,"research support, non-u.s. gov't"
1022,26984864,journal article
1022,26984864,randomized controlled trial
1023,25766852,evaluation study
1023,25766852,journal article
1024,27381588,comment
1024,27381588,editorial
1025,27286984,journal article
1025,27286984,review
1026,26545038,journal article
1026,26545038,review
1027,25980719,journal article
1028,26647906,journal article
1029,27650163,journal article
1029,27650163,review
1029,27650163,systematic review
1030,27811332,journal article
1030,27811332,review
1032,27965191,journal article
1033,26223546,journal article
1033,26223546,"research support, non-u.s. gov't"
1034,25575601,journal article
1036,27960178,editorial
1037,26311654,evaluation study
1037,26311654,journal article
1038,27927692,comment
1038,27927692,journal article
1039,25626547,journal article
1041,25654342,comparative study
1041,25654342,journal article
1041,25654342,"research support, non-u.s. gov't"
1042,28196582,letter
1043,27734449,journal article
1043,27734449,practice guideline
1044,27391204,journal article
1045,27041078,journal article
1045,27041078,review
1046,27838652,introductory journal article
1047,26303835,journal article
1048,26923067,journal article
1048,26923067,review
1049,27768131,clinical trial
1049,27768131,comparative study
1049,27768131,journal article
1049,27768131,"research support, n.i.h., extramural"
1049,27768131,"research support, non-u.s. gov't"
1050,26793811,journal article
1050,26793811,"research support, u.s. gov't, p.h.s."
1051,25962654,journal article
1051,25962654,"research support, non-u.s. gov't"
1052,26407512,journal article
1052,26407512,observational study
1052,26407512,"research support, non-u.s. gov't"
1053,27111954,english abstract
1053,27111954,journal article
1053,27111954,review
1054,25987932,evaluation study
1054,25987932,journal article
1055,26898413,journal article
1056,25754563,journal article
1056,25754563,review
1057,26802010,journal article
1057,26802010,"research support, non-u.s. gov't"
1058,27195764,journal article
1058,27195764,"research support, non-u.s. gov't"
1059,26414237,journal article
1060,26559073,journal article
1061,27640522,journal article
1062,25626553,journal article
1063,25567067,clinical trial
1063,25567067,journal article
1063,25567067,"research support, non-u.s. gov't"
1064,25991143,journal article
1065,28012837,journal article
1066,27860542,journal article
1068,26035259,journal article
1069,25596563,journal article
1070,25517540,journal article
1071,26292349,journal article
1071,26292349,"research support, non-u.s. gov't"
1072,27225551,journal article
1073,26862151,journal article
1073,26862151,"research support, non-u.s. gov't"
1074,28263938,comparative study
1074,28263938,journal article
1074,28263938,meta-analysis
1074,28263938,"research support, n.i.h., extramural"
1074,28263938,"research support, non-u.s. gov't"
1075,27422639,journal article
1075,27422639,randomized controlled trial
1075,27422639,"research support, n.i.h., extramural"
1076,27437037,journal article
1077,26262012,journal article
1077,26262012,observational study
1077,26262012,"research support, non-u.s. gov't"
1078,27198463,journal article
1078,27198463,review
1079,27632360,journal article
1079,27632360,randomized controlled trial
1080,27599993,journal article
1080,27599993,randomized controlled trial
1080,27599993,"research support, non-u.s. gov't"
1081,25626548,journal article
1082,25980706,journal article
1082,25980706,randomized controlled trial
1082,25980706,"research support, non-u.s. gov't"
1083,25790246,journal article
1083,25790246,"research support, n.i.h., extramural"
1084,26978568,journal article
1084,26978568,"research support, n.i.h., extramural"
1084,26978568,"research support, non-u.s. gov't"
1085,26642315,evaluation study
1085,26642315,journal article
1086,27379485,comment
1086,27379485,letter
1087,27591179,clinical trial
1087,27591179,journal article
1088,26319227,journal article
1089,27010652,journal article
1089,27010652,"research support, non-u.s. gov't"
1090,27430710,journal article
1091,25626534,journal article
1091,25626534,"research support, n.i.h., extramural"
1091,25626534,"research support, u.s. gov't, non-p.h.s."
1092,27487761,journal article
1093,26928456,journal article
1093,26928456,"research support, n.i.h., extramural"
1093,26928456,"research support, non-u.s. gov't"
1093,26928456,"research support, u.s. gov't, non-p.h.s."
1094,26142641,journal article
1095,26065105,comparative study
1095,26065105,journal article
1095,26065105,observational study
1096,27623231,journal article
1096,27623231,"research support, non-u.s. gov't"
1097,27892423,journal article
1097,27892423,multicenter study
1097,27892423,observational study
1097,27892423,randomized controlled trial
1097,27892423,"research support, non-u.s. gov't"
1098,27451860,clinical trial
1098,27451860,journal article
1099,26869144,journal article
1099,26869144,multicenter study
1100,26362882,journal article
1100,26362882,observational study
1103,27332252,journal article
1104,27818309,journal article
1104,27818309,randomized controlled trial
1105,27587557,journal article
1105,27587557,multicenter study
1105,27587557,randomized controlled trial
1105,27587557,"research support, non-u.s. gov't"
1106,25651872,comparative study
1106,25651872,journal article
1107,27352948,journal article
1107,27352948,"research support, non-u.s. gov't"
1108,26645639,journal article
1109,26989069,letter
1109,26989069,"research support, non-u.s. gov't"
1110,26996767,journal article
1110,26996767,"research support, non-u.s. gov't"
1111,26181037,journal article
1111,26181037,randomized controlled trial
1111,26181037,"research support, non-u.s. gov't"
1112,27565046,letter
1113,26409227,journal article
1113,26409227,"research support, non-u.s. gov't"
1114,27815494,journal article
1115,27273306,comparative study
1115,27273306,journal article
1116,27339715,journal article
1116,27339715,pragmatic clinical trial
1116,27339715,randomized controlled trial
1116,27339715,"research support, u.s. gov't, p.h.s."
1117,25980711,journal article
1118,27071877,evaluation study
1118,27071877,journal article
1119,26027939,journal article
1119,26027939,"research support, non-u.s. gov't"
1120,27521554,journal article
1121,27271001,case reports
1121,27271001,journal article
1122,27689956,journal article
1123,25707036,journal article
1123,25707036,"research support, u.s. gov't, p.h.s."
1124,25586814,journal article
1124,25586814,observational study
1125,27594174,journal article
1126,26431259,journal article
1126,26431259,observational study
1127,27329050,journal article
1128,26737866,journal article
1129,26122274,evaluation study
1129,26122274,journal article
1130,26938187,journal article
1131,27348634,journal article
1132,26802099,journal article
1132,26802099,multicenter study
1132,26802099,observational study
1133,25983310,journal article
1133,25983310,randomized controlled trial
1133,25983310,"research support, non-u.s. gov't"
1134,25587092,journal article
1134,25587092,multicenter study
1134,25587092,randomized controlled trial
1134,25587092,"research support, n.i.h., extramural"
1135,27064361,journal article
1136,26915719,journal article
1136,26915719,randomized controlled trial
1137,27340918,journal article
1138,28325025,comparative study
1138,28325025,journal article
1139,28268415,journal article
1140,28268383,journal article
1141,27532464,journal article
1142,26736233,journal article
1143,25981148,journal article
1144,26345452,journal article
1144,26345452,"research support, non-u.s. gov't"
1145,27659352,journal article
1146,25313450,journal article
1146,25313450,randomized controlled trial
1146,25313450,"research support, non-u.s. gov't"
1147,26668441,journal article
1148,25980699,journal article
1148,25980699,randomized controlled trial
1149,26780823,journal article
1149,26780823,"research support, non-u.s. gov't"
1150,27334562,journal article
1150,27334562,randomized controlled trial
1151,28460766,journal article
1151,28460766,multicenter study
1152,27894480,journal article
1153,25850667,journal article
1154,27265676,journal article
1154,27265676,"research support, non-u.s. gov't"
1155,27580831,journal article
1155,27580831,multicenter study
1155,27580831,"research support, non-u.s. gov't"
1156,25903278,journal article
1157,27757986,case reports
1158,26037921,journal article
1158,26037921,"research support, non-u.s. gov't"
1159,26039716,journal article
1159,26039716,practice guideline
1160,28019051,journal article
1160,28019051,randomized controlled trial
1161,27450573,journal article
1161,27450573,meta-analysis
1162,27257094,journal article
1162,27257094,"research support, non-u.s. gov't"
1163,28153209,case reports
1163,28153209,journal article
1164,26262013,journal article
1164,26262013,"research support, non-u.s. gov't"
1165,27955682,journal article
1165,27955682,multicenter study
1165,27955682,randomized controlled trial
1165,27955682,"research support, non-u.s. gov't"
1166,25746509,journal article
1166,25746509,randomized controlled trial
1166,25746509,"research support, u.s. gov't, p.h.s."
1167,27401505,journal article
1167,27401505,randomized controlled trial
1167,27401505,"research support, n.i.h., extramural"
1167,27401505,"research support, non-u.s. gov't"
1168,26063261,journal article
1169,27439396,journal article
1170,27782591,journal article
1171,26514079,journal article
1171,26514079,"research support, non-u.s. gov't"
1172,26198562,journal article
1172,26198562,randomized controlled trial
1173,25980705,journal article
1173,25980705,"research support, non-u.s. gov't"
1174,27166202,journal article
1175,26559927,journal article
1176,28454831,journal article
1176,28454831,randomized controlled trial
1177,27334627,journal article
1178,27269513,journal article
1178,27269513,"research support, u.s. gov't, non-p.h.s."
1179,27641539,journal article
1180,27006267,journal article
1181,26105725,journal article
1181,26105725,observational study
1181,26105725,"research support, non-u.s. gov't"
1181,26105725,validation study
1182,27084274,journal article
1182,27084274,"research support, non-u.s. gov't"
1183,26395147,clinical trial
1183,26395147,journal article
1183,26395147,"research support, non-u.s. gov't"
1184,26031737,journal article
1184,26031737,randomized controlled trial
1185,26907584,journal article
1185,26907584,randomized controlled trial
1185,26907584,"research support, non-u.s. gov't"
1186,25587091,journal article
1186,25587091,multicenter study
1186,25587091,randomized controlled trial
1186,25587091,"research support, n.i.h., extramural"
1186,25587091,"research support, non-u.s. gov't"
1187,26779641,journal article
1188,26656140,journal article
1188,26656140,multicenter study
1188,26656140,randomized controlled trial
1188,26656140,"research support, n.i.h., extramural"
1189,27042789,journal article
1190,27706216,journal article
1191,26218252,comparative study
1191,26218252,evaluation study
1191,26218252,journal article
1191,26218252,"research support, n.i.h., extramural"
1191,26218252,"research support, non-u.s. gov't"
1192,27285946,journal article
1192,27285946,multicenter study
1192,27285946,randomized controlled trial
1192,27285946,"research support, non-u.s. gov't"
1194,26262068,journal article
1195,27372607,journal article
1196,26063258,journal article
1197,27686107,clinical trial
1197,27686107,journal article
1198,26336050,journal article
1198,26336050,randomized controlled trial
1198,26336050,"research support, non-u.s. gov't"
1199,27568392,journal article
1199,27568392,multicenter study
1199,27568392,randomized controlled trial
1200,26056188,journal article
1200,26056188,observational study
1200,26056188,"research support, n.i.h., extramural"
1200,26056188,"research support, non-u.s. gov't"
1201,27939226,journal article
1201,27939226,"research support, non-u.s. gov't"
1203,25581591,journal article
1203,25581591,"research support, non-u.s. gov't"
1204,26553211,journal article
1204,26553211,randomized controlled trial
1204,26553211,"research support, n.i.h., extramural"
1204,26553211,"research support, non-u.s. gov't"
1205,26420423,journal article
1206,26951588,journal article
1206,26951588,randomized controlled trial
1206,26951588,"research support, non-u.s. gov't"
1207,26703214,clinical trial
1207,26703214,journal article
1207,26703214,multicenter study
1209,28151500,journal article
1210,26410510,journal article
1210,26410510,"research support, non-u.s. gov't"
1211,27575363,journal article
1211,27575363,observational study
1212,26653067,clinical trial
1212,26653067,journal article
1212,26653067,multicenter study
1212,26653067,randomized controlled trial
1212,26653067,"research support, n.i.h., extramural"
1213,26229119,comparative study
1213,26229119,journal article
1213,26229119,randomized controlled trial
1213,26229119,"research support, n.i.h., extramural"
1214,25585614,journal article
1214,25585614,observational study
1215,26938673,journal article
1216,25768023,journal article
1216,25768023,multicenter study
1216,25768023,randomized controlled trial
1216,25768023,"research support, non-u.s. gov't"
1217,27385021,comparative study
1217,27385021,journal article
1218,27050185,journal article
1219,27722974,journal article
1219,27722974,randomized controlled trial
1221,25734335,journal article
1222,27148833,journal article
1223,26258931,journal article
1223,26258931,"research support, non-u.s. gov't"
1224,26729330,journal article
1224,26729330,randomized controlled trial
1224,26729330,"research support, non-u.s. gov't"
1225,27659887,journal article
1225,27659887,multicenter study
1225,27659887,pragmatic clinical trial
1225,27659887,randomized controlled trial
1226,26916967,journal article
1226,26916967,"research support, n.i.h., extramural"
1226,26916967,"research support, non-u.s. gov't"
1227,25766855,journal article
1228,27537777,journal article
1228,27537777,"research support, non-u.s. gov't"
1229,27277940,journal article
1229,27277940,randomized controlled trial
1229,27277940,"research support, non-u.s. gov't"
1230,27544748,journal article
1231,27892422,journal article
1231,27892422,randomized controlled trial
1231,27892422,"research support, non-u.s. gov't"
1232,26702768,journal article
1233,27085532,journal article
1234,27167502,clinical study
1234,27167502,comparative study
1234,27167502,journal article
1235,26448794,journal article
1236,25842271,controlled clinical trial
1236,25842271,journal article
1236,25842271,multicenter study
1237,28661886,journal article
1238,26125415,journal article
1238,26125415,randomized controlled trial
1238,26125415,"research support, n.i.h., extramural"
1238,26125415,"research support, u.s. gov't, non-p.h.s."
1239,27343060,journal article
1240,26467152,clinical trial
1240,26467152,comparative study
1240,26467152,journal article
1241,26485693,comparative study
1241,26485693,journal article
1241,26485693,randomized controlled trial
1242,27642802,journal article
1244,26352177,journal article
1244,26352177,practice guideline
1244,26352177,"research support, non-u.s. gov't"
1245,26848645,journal article
1245,26848645,"research support, n.i.h., extramural"
1245,26848645,"research support, non-u.s. gov't"
1246,27489077,journal article
1246,27489077,randomized controlled trial
1247,25782110,journal article
1248,27096217,journal article
1249,27525984,comment
1249,27525984,letter
1250,27387752,comparative study
1250,27387752,journal article
1250,27387752,randomized controlled trial
1251,27878990,journal article
1252,25955129,journal article
1252,25955129,"research support, non-u.s. gov't"
1253,27396538,journal article
1254,26860839,journal article
1255,26530929,journal article
1255,26530929,randomized controlled trial
1255,26530929,"research support, n.i.h., extramural"
1256,25822284,journal article
1256,25822284,multicenter study
1256,25822284,randomized controlled trial
1256,25822284,"research support, u.s. gov't, non-p.h.s."
1257,26385956,journal article
1257,26385956,randomized controlled trial
1258,27621081,journal article
1259,26215451,journal article
1259,26215451,"research support, non-u.s. gov't"
1260,26219827,case reports
1260,26219827,journal article
1261,26063161,comparative study
1261,26063161,journal article
1261,26063161,randomized controlled trial
1261,26063161,"research support, n.i.h., extramural"
1261,26063161,"research support, u.s. gov't, non-p.h.s."
1262,26350543,journal article
1262,26350543,randomized controlled trial
1263,25740577,journal article
1264,25873137,journal article
1264,25873137,multicenter study
1264,25873137,randomized controlled trial
1264,25873137,"research support, non-u.s. gov't"
1265,27223309,journal article
1266,26121625,journal article
1266,26121625,pragmatic clinical trial
1266,26121625,"research support, non-u.s. gov't"
1267,27448540,journal article
1267,27448540,randomized controlled trial
1268,26444995,evaluation study
1268,26444995,journal article
1268,26444995,"research support, non-u.s. gov't"
1269,26940122,journal article
1269,26940122,multicenter study
1269,26940122,observational study
1270,26989161,journal article
1271,25908774,comparative study
1271,25908774,journal article
1271,25908774,multicenter study
1271,25908774,randomized controlled trial
1271,25908774,"research support, non-u.s. gov't"
1272,27179726,journal article
1272,27179726,randomized controlled trial
1273,27145408,journal article
1274,26159438,case reports
1274,26159438,journal article
1275,26670209,journal article
1275,26670209,observational study
1276,27614025,comparative study
1276,27614025,evaluation study
1276,27614025,journal article
1277,27285669,journal article
1278,27179935,journal article
1279,25661470,journal article
1279,25661470,multicenter study
1279,25661470,randomized controlled trial
1280,25787230,journal article
1280,25787230,multicenter study
1280,25787230,observational study
1280,25787230,"research support, non-u.s. gov't"
1281,27037551,journal article
1282,25887324,controlled clinical trial
1282,25887324,journal article
1282,25887324,"research support, non-u.s. gov't"
1283,26259568,journal article
1283,26259568,multicenter study
1283,26259568,randomized controlled trial
1283,26259568,"research support, non-u.s. gov't"
1284,26711741,journal article
1285,27435946,journal article
1286,27325432,journal article
1287,26412603,journal article
1288,26852082,journal article
1289,28268934,journal article
1290,27529654,comment
1290,27529654,letter
1291,27247976,journal article
1292,26390500,journal article
1292,26390500,"research support, non-u.s. gov't"
1293,26620200,journal article
1294,25980209,journal article
1295,26490149,journal article
1295,26490149,"research support, non-u.s. gov't"
1296,28526671,journal article
1296,28526671,review
1296,28526671,systematic review
1297,29880129,journal article
1297,29880129,"research support, n.i.h., extramural"
1297,29880129,"research support, non-u.s. gov't"
1297,29880129,review
1298,29171946,journal article
1298,29171946,review
1299,28330835,journal article
1299,28330835,meta-analysis
1299,28330835,review
1299,28330835,systematic review
1300,29100941,journal article
1300,29100941,"research support, non-u.s. gov't"
1300,29100941,review
1300,29100941,systematic review
1302,28233442,journal article
1302,28233442,meta-analysis
1302,28233442,review
1302,28233442,systematic review
1303,30129884,journal article
1303,30129884,"research support, non-u.s. gov't"
1303,30129884,review
1306,29226815,journal article
1306,29226815,"research support, non-u.s. gov't"
1306,29226815,review
1307,28108430,journal article
1307,28108430,review
1307,28108430,systematic review
1308,28219338,journal article
1308,28219338,multicenter study
1308,28219338,randomized controlled trial
1308,28219338,"research support, non-u.s. gov't"
1310,30392584,journal article
1310,30392584,pragmatic clinical trial
1310,30392584,"research support, n.i.h., extramural"
1310,30392584,"research support, non-u.s. gov't"
1311,30153985,journal article
1311,30153985,multicenter study
1311,30153985,randomized controlled trial
1311,30153985,"research support, non-u.s. gov't"
1312,30027607,journal article
1312,30027607,randomized controlled trial
1312,30027607,"research support, n.i.h., extramural"
1312,30027607,"research support, non-u.s. gov't"
1314,28202032,journal article
1314,28202032,randomized controlled trial
1315,28847546,journal article
1315,28847546,randomized controlled trial
1315,28847546,"research support, non-u.s. gov't"
1316,30006474,journal article
1316,30006474,multicenter study
1316,30006474,randomized controlled trial
1316,30006474,"research support, non-u.s. gov't"
1317,30005749,comparative study
1317,30005749,journal article
1318,29710165,comparative study
1318,29710165,journal article
1318,29710165,randomized controlled trial
1318,29710165,"research support, n.i.h., intramural"
1319,28851729,journal article
1319,28851729,randomized controlled trial
1320,28698169,journal article
1320,28698169,randomized controlled trial
1321,28215030,journal article
1321,28215030,review
1322,30230666,journal article
1322,30230666,multicenter study
1322,30230666,randomized controlled trial
1322,30230666,"research support, non-u.s. gov't"
1323,30378552,journal article
1323,30378552,review
1324,28993389,journal article
1324,28993389,multicenter study
1324,28993389,randomized controlled trial
1325,30482115,journal article
1325,30482115,review
1326,28767315,journal article
1326,28767315,"research support, n.i.h., extramural"
1326,28767315,review
1327,29691097,journal article
1327,29691097,"research support, non-u.s. gov't"
1327,29691097,review
1328,28869405,clinical trial protocol
1328,28869405,journal article
1328,28869405,randomized controlled trial
1328,28869405,"research support, non-u.s. gov't"
1329,29921516,journal article
1329,29921516,review
1330,30366759,journal article
1330,30366759,randomized controlled trial
1330,30366759,"research support, non-u.s. gov't"
1331,29271705,journal article
1332,30284661,journal article
1332,30284661,review
1333,28285117,comparative study
1333,28285117,journal article
1333,28285117,review
1334,29557669,journal article
1334,29557669,multicenter study
1334,29557669,randomized controlled trial
1334,29557669,"research support, non-u.s. gov't"
1335,28084886,journal article
1335,28084886,review
1336,28329231,journal article
1336,28329231,randomized controlled trial
1336,28329231,"research support, non-u.s. gov't"
1337,29507256,journal article
1337,29507256,review
1337,29507256,systematic review
1338,29273661,journal article
1338,29273661,multicenter study
1338,29273661,randomized controlled trial
1338,29273661,"research support, non-u.s. gov't"
1338,29273661,"research support, u.s. gov't, p.h.s."
1339,30224830,comment
1339,30224830,journal article
1340,30169539,journal article
1340,30169539,randomized controlled trial
1340,30169539,"research support, non-u.s. gov't"
1341,28615004,journal article
1341,28615004,review
1341,28615004,systematic review
1342,30522350,journal article
1342,30522350,review
1343,28659116,journal article
1343,28659116,review
1344,28831544,journal article
1344,28831544,review
1345,29019786,comment
1345,29019786,editorial
1345,29019786,"research support, non-u.s. gov't"
1346,30037524,journal article
1346,30037524,review
1347,29090637,editorial
1348,28460775,journal article
1348,28460775,review
1349,28254129,comment
1349,28254129,editorial
1350,27763999,journal article
1350,27763999,review
1350,27763999,systematic review
1351,29437182,journal article
1351,29437182,review
1352,28629374,journal article
1353,28733079,journal article
1353,28733079,review
1354,28189614,journal article
1354,28189614,review
1355,29759443,journal article
1355,29759443,"research support, non-u.s. gov't"
1355,29759443,review
1356,29890749,journal article
1356,29890749,review
1357,29524066,journal article
1357,29524066,review
1358,29793388,journal article
1359,28980271,journal article
1359,28980271,"research support, non-u.s. gov't"
1359,28980271,review
1360,28912193,journal article
1360,28912193,randomized controlled trial
1361,29934286,journal article
1361,29934286,randomized controlled trial
1361,29934286,"research support, non-u.s. gov't"
1362,30079780,journal article
1362,30079780,review
1363,29415680,journal article
1363,29415680,review
1363,29415680,systematic review
1364,30592367,comment
1364,30592367,editorial
1365,29036020,journal article
1365,29036020,review
1366,29960614,journal article
1366,29960614,"research support, non-u.s. gov't"
1366,29960614,review
1367,29596710,journal article
1368,28459716,editorial
1369,28219918,journal article
1369,28219918,meta-analysis
1369,28219918,review
1370,29341881,journal article
1370,29341881,review
1372,29595427,journal article
1373,30394853,journal article
1373,30394853,"research support, non-u.s. gov't"
1373,30394853,review
1374,29724446,journal article
1374,29724446,review
1375,28384077,journal article
1376,27886793,journal article
1376,27886793,review
1377,28189579,journal article
1377,28189579,review
1378,28485548,comment
1378,28485548,editorial
1379,28916513,comment
1379,28916513,editorial
1380,28917685,comment
1380,28917685,editorial
1381,30440004,journal article
1381,30440004,review
1382,30238134,journal article
1382,30238134,review
1383,29880130,journal article
1383,29880130,review
1384,30717844,journal article
1384,30717844,review
1385,30153986,comment
1385,30153986,journal article
1385,30153986,"research support, non-u.s. gov't"
1386,30183673,journal article
1386,30183673,validation study
1387,29237746,journal article
1387,29237746,multicenter study
1387,29237746,randomized controlled trial
1388,30367136,journal article
1388,30367136,review
1389,29460639,journal article
1389,29460639,"research support, non-u.s. gov't"
1390,28325751,journal article
1390,28325751,"research support, n.i.h., extramural"
1390,28325751,"research support, non-u.s. gov't"
1390,28325751,"research support, u.s. gov't, p.h.s."
1391,29086593,journal article
1392,29671879,journal article
1392,29671879,review
1394,29859864,comparative study
1394,29859864,journal article
1395,29067651,journal article
1395,29067651,review
1396,28193604,journal article
1396,28193604,review
1397,28084972,journal article
1397,28084972,review
1398,29861204,journal article
1398,29861204,review
1399,28249991,comment
1399,28249991,editorial
1399,28249991,"research support, non-u.s. gov't"
1400,28043988,editorial
1401,28544230,journal article
1401,28544230,multicenter study
1401,28544230,randomized controlled trial
1402,30308242,journal article
1402,30308242,review
1403,30537895,clinical study
1403,30537895,journal article
1404,28555549,editorial
1405,28710094,journal article
1405,28710094,review
1406,30203992,journal article
1406,30203992,"research support, non-u.s. gov't"
1409,29654096,journal article
1409,29654096,"research support, non-u.s. gov't"
1409,29654096,systematic review
1410,28851081,journal article
1411,28359169,journal article
1411,28359169,review
1412,29455685,journal article
1412,29455685,review
1413,29936593,journal article
1413,29936593,review
1414,29699854,journal article
1414,29699854,review
1415,29297569,comparative study
1415,29297569,journal article
1416,28302916,journal article
1416,28302916,review
1417,28537509,journal article
1418,29350511,journal article
1418,29350511,"research support, non-u.s. gov't"
1419,28391214,journal article
1419,28391214,"research support, non-u.s. gov't"
1420,29754649,journal article
1420,29754649,multicenter study
1420,29754649,randomized controlled trial
1420,29754649,"research support, non-u.s. gov't"
1421,30025615,journal article
1421,30025615,"research support, non-u.s. gov't"
1422,30185374,journal article
1422,30185374,review
1423,28302050,editorial
1424,30276799,journal article
1424,30276799,"research support, non-u.s. gov't"
1425,29098863,editorial
1426,28954768,journal article
1426,28954768,review
1427,30189879,letter
1428,28033163,comparative study
1428,28033163,journal article
1429,30573351,journal article
1429,30573351,"research support, non-u.s. gov't"
1429,30573351,review
1430,28652225,journal article
1430,28652225,review
1430,28652225,systematic review
1431,30504503,journal article
1432,28849391,journal article
1432,28849391,review
1433,28153000,journal article
1433,28153000,multicenter study
1433,28153000,randomized controlled trial
1434,29677972,journal article
1434,29677972,review
1434,29677972,systematic review
1436,30418101,journal article
1436,30418101,randomized controlled trial
1436,30418101,"research support, non-u.s. gov't"
1437,30633680,journal article
1437,30633680,meta-analysis
1437,30633680,systematic review
1438,30328780,journal article
1438,30328780,review
1439,30327135,journal article
1440,30171267,comparative study
1440,30171267,evaluation study
1440,30171267,journal article
1441,30540872,journal article
1441,30540872,meta-analysis
1441,30540872,systematic review
1442,29040548,journal article
1442,29040548,review
1443,28434913,journal article
1443,28434913,"research support, n.i.h., extramural"
1443,28434913,review
1444,30372365,comparative study
1444,30372365,journal article
1444,30372365,"research support, non-u.s. gov't"
1445,29452259,journal article
1445,29452259,randomized controlled trial
1445,29452259,"research support, non-u.s. gov't"
1446,30110042,journal article
1447,28523862,journal article
1447,28523862,multicenter study
1448,26422638,journal article
1449,29767806,comparative study
1449,29767806,journal article
1449,29767806,"research support, non-u.s. gov't"
1450,29085537,journal article
1451,29854150,evaluation study
1451,29854150,journal article
1451,29854150,"research support, non-u.s. gov't"
